ID,Name,Concepticon_ID,Concepticon_Gloss,Concepticon_Definition,Description_md
161,stone,857,STONE,"A general term for rock that is used in construction, either crushed for use as aggregate or cut into shaped blocks as dimension stone.",
162,straight,1404,STRAIGHT,Not crooked or bent; having a constant direction throughout its length.,
164,sun,1343,SUN,"The particular star at the centre of our solar system, from which the Earth gets light and heat.",
165,swell,1573,SWELL,To grow larger in volume.,
166,swim,1439,SWIM,"To move through the water, without touching the bottom.",
167,tail,1220,TAIL,The appendage of an animal that is attached to its posterior and near the anus.,
171,thick,1244,THICK,Relatively large distance from one surface to the opposite in its smallest solid dimension.,
173,think,1415,THINK (REFLECT),"To actively and consciously use one's mental powers, usually to form ideas.",
176,three,492,THREE,The natural number three (3).,
177,throw,1456,THROW,"To cause (an object) to move rapidly through the air, with the force of the hand or arm.",
178,tie,1917,TIE,To establish connection between two or more things.,
179,tongue,1205,TONGUE,"The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.",
180,tooth,1380,TOOTH,"A hard, calcareous structure present in the mouth of many vertebrate animals (including humans), generally used for eating.",
181,tree,906,TREE,Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.,
182,turn,1588,TURN,To change the direction of movement or the direction in which something is facing.,
183,two,1498,TWO,The natural number two (2).,
184,vomit,1278,VOMIT,To regurgitate the contents of the stomach.,
186,hot,1286,HOT,Having a very high temperature.,
187,wash,1453,WASH,"To remove dirt and grime from an object, using water (usually with soap).",
188,water,948,WATER,"Common liquid (H₂O) which forms rain, rivers, the sea, etc., and which makes up a large part of the bodies of organisms.",
190,wet,1726,WET,Covered with or impregnated with liquid.,
194,white,1335,WHITE,Bright and colourless; reflecting equal quantities of all frequencies of visible light.,
196,wide,1243,WIDE,"Having a long distance or area between two points, especially horizontally.",
198,wind,960,WIND,"The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion.",
199,wing,1257,WING,"The appendage of an animal's (bird, bat, insect) body that enables it to fly in the air.",
202,woman,962,WOMAN,An adult human member of the sex that produces ova and bears young.,
203,forest,420,FOREST,"A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.",
204,worm,1219,WORM,A generally tubular invertebrate of the annelid phylum.,
206,year,1226,YEAR,The time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).,
207,yellow,1424,YELLOW,"Having the colour of a yolk, a lemon or gold.",
208,ant,587,ANT,"Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.",
209,thigh,800,THIGH,The area between the pelvis and buttocks and the knee.,
210,navel,1838,NAVEL,A scar where the umbilical cord was attached.,
211,fly_N,1504,FLY (INSECT),A common insect; any species of insect of the order Diptera.,
212,yesterday,1174,YESTERDAY,The day before today.,
213,shadow,2275,SHADOW,"Darkness, where light (particularly sunlight) is blocked.",
214,house,1252,HOUSE,"The abode of a human being, their place of residence.",
215,bitter,887,BITTER,Having an acrid taste.,
216,hard,1884,HARD,Resistant to pressure.,
217,sweet,717,SWEET,Having the taste characteristic of sugar or honey.,
218,go,695,GO,To get from one place to another by any means.,
219,run,1519,RUN,To move quickly by alternately making a short jump off of either foot.,
220,carry,700,CARRY,To lift and bring to somewhere else; to transport by lifting.,
221,take,1749,TAKE,To grasp with the hands.,
222,hide,602,HIDE (CONCEAL),To put something in a place where it will be harder to discover or out of sight.,
223,cry,1839,CRY,To shed tears due to the impact of an emotion.,
224,do,813,DO,To perform an action.,
225,grind,1033,GRIND,"To break something into small pieces by pressing it flat, or grinding it to powder.",
226,claw,72,CLAW,"The hard, keratin part growing at the feet of animals.",
