ID,Description,Source,Root_Form,Root_Gloss,Root_Language,Comment,Justification,revised_by,Ideophonic,Dyen,proposedAsCognateTo_pk,proposedAsCognateToScale,parallelDerivation,Root_Form_calc,Root_Language_calc,supersetid
18,,"141[439-440{S.v. *mer- 'verschwinden, sterben' (IEW 735)}];156[II:89-90{Ossetic forms from Indo-Iranian *mar-.}];567[232-233{Bactrian μιρ- / μιρδο from Proto-Iranian *mr̥ya-/*mr̥ta- (cf. MPers. mīr-/murd).}];79[463{S.v. Arm. meṙanim, 'to die', a present stem which was back-formed on the basis of the active root aorist (3.sg. *mér-t), ultimately derived from PIE *mer- 'to disappear, vanish' (cf. Skt. mar- 'to die', Hitt. mer- 'to disappear, vanish', Lat. morior, OCS mrěti, etc.).}];172[II:318-319{S.v. Ved. √mar- 'sterben', from PIE *mer- 'verschwinden, hinschwinden, sterben' (cf. Lat. morior 'sterbe', Goth. maurϸr 'Mord', Lith. mir̃ti, OCS mrěti 'sterben', etc.).}];81[308{S.v. Proto-Slavic *merti 'die', from Proto-Balto-Slavic *mer-/*mir- (cf. Lith. mir̃ti, Latv. mìrt 'die'), derived from PIE *mer- (cf. Skt. mriyáte 'die, Lat. morior 'die').}];54[389-390{S.v. Lat. morior, morī 'to die', from PIE *mr̥-i̯e-, from root *mer- 'to disappear, die' (cf. OIr. marb, W. marw 'dead' < *mr̥-u̯o-| Hitt. mer- 'to disappear, vanish' < *mer-/*mr-| Skt. mriyáte < *mr-ie-| YAv. miriia- 'to die', Gk. (Hesych.) ἔμορτεν [3.sg.ipf.act.] 'died', Arm meṙani- 'to die', Goth. maurϸr 'murder', Lith. mir̃ti 'to die', OCS mrěti 'to die', etc.).}];50[259{Cf. s.v. Proto-Celtic *marwo- 'dead' (adj.), from which the Brit. Celtic forms are denominative verbal formations. The PIE adjective *mrto- (cf. Skt. mr̥tá-, Lat. mortuus) as remodelled in Celtic on analogy with *gʷiH-u̯os 'alive' (cf. Lat. uīuus, etc.).}];353[321{S.v. Lith. mir̃ti (Latv. mìrt) 'die' from Proto-Balto-Slavic *mer-/*mir- (cf. OCS mrěti 'die'), derived from PIE *mer- (cf. Skt. mriyáte 'die, Lat. morior 'die').}];352[660-661{S.v. OLith. mir̃ti 'sterben' (BSl. cf. Latv. mir̃t, 'sterben', OCS mrěti 'stermen', etc.), from PIE *mer- 'sterben, verschwinden' (cf. Hitt. merzi 'verschwindet', Ved. mar-, mriyáte 'sterben', YAv. mar-, miriiete 'stirbt', Lat. morior, morī 'sterben').}]",*mer-,,Proto-Indo-European,,"Lexemes derived from PIE *mer- 'to disappear; to die' ([LIV²](src-141) 439-440). Note that the semantic extension 'to disappear' as a euphemism 'to die' appears to be a post-Anatolian innovation, where the Hittite cognate mer-/mar- retains the original meaning 'to disappear' (cf. [Kloekhorst 2008](src-80):8).",4,false,028-003,,0,false,,,221
21,,"274[436-440{S.v. *k̑u̯ón-, *k̑un-, *k̑u̯n̥- 'Hund' (IEW 632f.).}];80[505-506{S.v. Hitt. (LÚ)kuu̯an-/kun- 'hound-man' (a type of cult functionary), elsewhere in Anatolian cf. HLuw. swan(i)- 'dog'. From PIE *k̑uōn, *k̑uón-m, *k̑un-ós (cf. Skt. svā́, Arm. šun, Lith. šuõ, etc. 'dog'). For the contexts and interpretation of the Hittite lexeme cf. Melchert (1989).}];66[811{S.v. κύων 'dog, bitch', from PIE *k̑uon- 'dog' (cf. Skt. śvā́, Lith. šuõ, Hitt. (LÚ)kuu̯an-, HLuw. swan(i)-, etc.).}];692[97-101{Cf. for the contexts and interpretation of the Hittite lexeme.}];345[190{S.v. TochB ku 'dog', which with TochA ku reflects *kŭwŭ from PIE *k̑úwō 'dog' (cf. Skt. ś(u)vā, Arm. šun, Gk. κύων, Lat. canis, OIr. cú, Goth. hunds, Lith. šuõ, Hitt. kuwas, HLuw. zuwana/i- 'dog').}];79[520-522{S.v. Arm. šun 'dog| adulterer, adulteress, whore', since long connected with PIE *k̑uon- 'dog' (cf. Skt. śvan-, YAv. span-, Lat. canis, Gk. κύων, OIr. cú, Lith. šuõ, OPr. sunis, etc.).}];172[II:674-675{S.v. Ved. śvan- 'Hund' (IIr. cf. YAv. span- 'Hund'), from PIE *k̑u̯on- (cf. Arm. šown, Gk. κύων, OIr. cú, Lith. šuõ, TochAB ku, Hitt. kuu̯an-/kun- 'dog-man', ON hun-d-r 'Hund', etc.).}];353[455{S.v. Lith. šuõ 'dog' (Latv. suns, OPr. sunis), from PIE *k̑uōn, G.sg. k̑un-ós (cf. Skt. śván-, Gk. κύων, Lat. canis, OIr. cú, Goth. hunds).}];165[256{S.v. Proto-Germanic *hunda- (2) 'dog', from the IE word for 'dog' *k̑u-on- (cf. Hitt. kuu̯an- ~ kun- 'dog-man', TochAB ku, Skt. śván-, YAv. span-, Arm. šun, Gk. κύων, Lat. canēs, -is, OIr. cú, Lith. šuõ, etc.).}];54[87{S.v. Lat. canēs, -is 'dog', from PIE *k̑uōn 'dog' (cf. OIr. cú [G.sg. con], Hitt. kuu̯an-/kun- 'dog-man', HLuw. swan(i)- 'dog' Skt. svā́ 'dog', YAv. span- 'dog', Gk. κύων, Arm. šown, OPr. sunis, Lith. šuõ, Goth. hunds, OIc. hundr, TochAB ku, etc.).}];50[181{S.v. Proto-Celtic *kʷon- 'dog' (nom.sg. *k(w)ū, gen.sg. *kunos), from PIE *k̑(u)u̯ōn 'dog' (cf. Skt. śvā́, Gk. κύων, Lat. canis, Germ. Hund, Lith. šuõ, TochA ku, Arm. šun). NB Proto-Celtic *kʷ < PIE *k̑w was delabialised before *ū̆.}];352[1054-1055{S.v. OLith. šuõ, šuõj, šuõn 'Hund' (BSl. cf. Latv. suns 'Hund, OPr. sunis 'Hund'), from PIE *k̑u̯on- 'Hund' (cf. Hitt. kuwas 'Hundemann', HLuw. zuwan(i)- 'Hund', Ved. śvā́ 'Hund', YAv. spā 'Hund', Gk. κύων 'id.', OIr. cú 'id.', TochA ku, TochB ku 'Hund').}];657[168{S.v. DOG *k̑(u)u̯ón (gen. *k̑unós) 'dog (canis familiaris)'.}];149[187{S.v. TochB ku, kū, TochA ku, kū 'dog', clearly continuing the IE word for 'dog' (cf. Skt. ś(u)vā́, Gk. κύων, etc.).}]",*k̑u̯ón-,,Proto-Indo-European,,"Anatolian, Tocharian, Hellenic, Armenian, Indo-Iranic, Baltic, Germanic, Italic, and Celtic lexemes continuing PIE *k̑u̯ón-, *k̑un-, *k̑u̯n̥-, the inherited Indo-European word for 'dog' ([NIL](src-274) 436-440, [EIEC](src-657) 168, cf. [Melchert 1989](src-692), [Kloekhorst 2008](src-80):505-506, [Hilmarsson 1996](src-149):187, [Adams 2013](src-345):190, [Martirosyan 2010](src-79):520-522, Beekes 2010}:811, [EWAia](src-172) II:674-675, [ALEW](src-352) 1054-1055, [Derksen 2015](src-353):455, [Kroonen 2013](src-165):256, [de Vaan 2008](src-54):87, [Matasović 2009](src-50):181).",4,false,031-003,,0,false,,,
22,,"83[35-36{S.v. Proto-Iranian *caš² 'to drip| to drink, eat?'.  The root is exclusively Iranian| Skt. caṣ- 'to eat' is attested late and likely to be a loanword.}]",*čaš-,,Proto-Iranic,Klingenschmitt (2000: 216 fn. 86) sets these words together with Pashto caṣǝl in relation to Old Ind. *cakṣ.,"Lexemes continuing Proto-Iranic *čaš- 'to drip; to drink, eat'? ([Cheung 2007](src-83):35-36).",4,false,032-006,,0,false,,,
24,,,,,,"Horn (1893: 201) suggests a derivation from the verbal root 'wart' ""to turn"". If so, all those languages that would preserve *#w would have to have loaned this word from languages like Persian.",,,false,035-010,,0,false,gærd,(Iranic),
25,,"172[I:518-519{Cf. s.v. ghoṣ- 'klingen, ertönen, ertönen machen' (cf. Ir. *(-)gauš 'hören' in MPers. niyō(x)šidan, NPers. niyōšīdan, Parth. nγwš, Baluči niγōšaγ, Oss. qūsyn, etc.). The IE origins of PIIr. *gʰau̯š- '(ein Getön) hören' are not securely determined.}];141[200{Cf. s.v. ?*g⁽ʷ⁾ʰeu̯s- '(Geräusche) hören' (IEW 454). Only Indo-Iranian (cf. Ved. ghóṣati 'ertönt, hört')| PIE reconstruction uncertain.}];83[115-116{S.v. Proto-Iranian gauš- 'to hear, listen to' (cf. Skt. ghoṣ- 'to sound'). Cognate forms outside of IIr. are not attested.}]",*gʰau̯š-,,Proto-Indo-Iranic,,"Iranic lexemes derived from Proto-Indo-Iranic *gʰau̯š- 'to hear, listen to' (cf. Vedic √ghoṣ- 'to sound'), further etymology outside of Indo-Iranic unclear ([Cheung 2007](src-83):115-116, [EWAia](src-172) I:518-519; [LIV²](src-141) 200 mechanically reconstructs ?*g⁽ʷ⁾ʰeu̯s-).",4,false,036-002,,0,false,,,349
27,,"83[147{S.v. Proto-Iranian *hu̯ar¹ 'consume, eat'. The root is probably secondary to Proto-Iranian *hu̯ar³ 'to take'. Further IE connections are uncertain and postulating a PIE root *su̯el- (as in LIV², IEW) is probably unwarranted.}];141[609{Cf. s.v. ?2.*su̯el- '(ver)schlucken' (IEW 1045).  Only Iranian (cf. YAv. xᵛaraiti 'ißt, trinkt'), so the Indo-European root reconstruction is only hypothetical.}];567[279{Bactrian χοαρ-/χοαρδο 'have, possess, take (possession of)| eat' < Proto-Iranian *hwara-/hwarta- (cf. Khot. kvar-/hvaḍa- 'consume, eat' Tumshuqese hvārya- 'to be taken').}]",*hu̯ar-,,Proto-Iranic,,"Lexemes continuing Proto-Iranic *hu̯ar- 'to consume, eat', further connections uncertain ([Cheung 2007](src-83):147-150, cf. [LIV²](src-141) 609).",4,false,038-007,,0,false,,,381
28,,"66[1681{S.v. ᾠόν 'egg' < PIE *h₂ōui-o- 'egg'.}];165[17{S.v. Proto-Germanic *ajja- 'egg' from PIE *h₂ōu-ió-, generally taken to be formed as a vr̥ddhi-formation to the Indo-European word for 'bird' *h₂éu-is, *h₂u-éi-s. Cf. entry in Kroonen for a relative chronology of the sound changes that led to the Proto-Germanic form.}];130[60{Contra Orel (1998:497), considers the Alb. ve ~ vo inherited. (All other loans from Lat. ō- result in (h)u-.)}];105[497{S.v. Alb. ve ~ vo 'egg', considers the lexeme a loan from Lat. ōvum on the basis of Old Albanian voe (Buzuku, Bardhi) where the correspondence of Tosk va- ~ Gheg vo- is typical of Latin loanwords. [But cf. objections of Holm 2011:60.]}];79[439{S.v. Arm. ju 'egg', derived from the PIE word for 'egg' (cf. Gk. ᾠόν, Lat. ōvum, Celt. *āwyo- 'egg', OCS aice, etc.), the Armenian form is usually explained from *i̯ō(w)i̯o- with assimilatory addition of *i̯-, but the initial j- remains unclear.}];320[30{S.v. Khot. āhā- 'egg' < *āvyā- (cf. Av. aēm [Yašt 13.2] 'egg'(?), Oss. D. ajkä, NPers. xāyah, Pašto hā, etc., from the PIE word for 'egg' (Gk. ᾠόν, Welsh wy, Lat. ōuum, ONor. egg, etc.).}];81[27{S.v. Proto-Slavic *ajьce 'egg', originally a diminutive of Proto-Slavic *aje 'egg' from PIE *h₂ōui-om (cf. Gk. ᾠόν, Lat. ōvum, OIc. egg, OHG ei, W wy).}];54[438{S.v. Lat. ōvum 'egg', from PIE *h₂ōuiom 'egg', preferring the explanation deriving 'egg' as a vr̥ddhi-derivative of 'bird', hence 'what belongs to a bird', against Schindler (1969), who reconstructs ō-h₂uiom with a preposition *ō, thus 'toward the bird'.}];653[144-167{Derives the IE word for egg from *ō-h₂uiom.}];50[50{S.v. Proto-Celtic *āwyo- 'egg', from PIE *h₂ōu-io- 'egg' (cf. Lat. ōuum, Gk. ᾠόν, etc.).}];269[{Cf. Western Armenian hawkitʿ as a compound 'bird-produce' [cognate set 6057](cog-6057). Within PIE 'bird' and 'egg' must have been separate lexemes, therefore these classes have been separated.}];458[1: 61-64{PS *aje < PIE *ōi̯om. Cf. also PS derivatives *ajĭce and *ajĭko.}];657[176{S.v. EGG *hₐō(u̯)iom 'egg' [[IEW](src-49) 783-784 *ō(u̯)i̯-om)]. Arm. ju 'egg' and OInd. aṇḍa- cannot be derived from this IE proto-form. It is quite possible that the word for 'egg' is a vr̥ddhi-derivative of the IE word for 'bird' *hₐeu̯ei-.}]",*h₂ōu̯ió-,,Proto-Indo-European,,"Hellenic, Armenian, Albanian, Iranic, Slavic, Germanic, Italic, and Celtic lexemes continuing PIE *h₂ōu̯ió- 'egg', which may be a vr̥ddhi-derivative to the Indo-European word for 'bird' *h₂eu̯-i- ([EIEC](src-657) 176, cf. [cognate set 856](cog-856)); alternatively [Schindler 1969](src-653) reconstructs an adpositional construction *ō-h₂uiom 'towards the bird'. For individual branches, cf. [Beekes 2010](src-66):1681, [Martirosyan 2010](src-79):439, [Orel 1998](src-105):497, [Holm 2011](src-130):60, [Abaev 1959–1995](src-156) I:41, [Bailey 1979](src-320):30, [ESSJa](src-458) 1:61-64, [Derksen 2008](src-81):27, [Kroonen 2013](src-165):17, [de Vaan 2008](src-54):438, [Matasović 2009](src-50):50.",4,false,039-007,,0,false,,,
29,,"323[77{S.v. Pashto st'ərga f. 'eye'. Diminutive * stṛ-kā-, which he compares with Balochi čamm-istār ""pupil of the eye"". Since he also refers to the meaning ""planet"" of the Pashto word, he probably suggests the ""star""-word as etymology.}];442[330{Cf. s.v. 5798 Skt. tārā f. 'fixed star'| 4. tāraká- 'belonging to the stars' > B. tārā 'star| pupil of the eye'}];172[II:755-756{S.v. Ved. stár- 'Stern' (RV ins.pl. stŕ̥bhiḥ, nom.pl. tā́raḥ [RV 8.55.2]| OAv., YAv. star-, etc.), from PIE *h₂stér- (cf. Hitt. ḫa-aš-te-er-za, Gk. ἀστήρ, Arm. astł, Lat. stēlla, Goth. stairno, etc.).}]",*h₂ster-,,Proto-Indo-European,,"According to [Morgenstierne 2003](src-323):77, as though from an Iranic diminutive *str̥-kā, and in view of the meaning 'planet' (cf. Avestan star- 'star', Vedic stár- 'id.) probably to be further connected to the Indo-European word for 'star', *h₂stér- (cf. [EWAia](src-172) II:755-756). The same semantic development is also attested in Modern Indic (cf. [Turner 1962–1966](src-442):330 no. 5798).",4,false,040-006,,0,false,,,139
38,,"320[56{S.v. Khot. kava- 'fish', from Iranic *kapā- (Sogd. kpy, Yidγa kap, Waxī kūp, Pašto kab| Oss. DI. käf| possibly from OInd. kap- 'grey' in OInd. kapila-.}];321[458{S.v. Wa. kup 'руба' < *kapā- (Khot. kava, Sogd. kpy, Mdzh. kop, Yid. kap, Afg. kab. Oss. kæf.}];331[4:241-242{S.v. *kapa- 'руба', considered an East Iranian word in contrast to Western Iranian which continues reflexes from *matsi̯a-. Perhaps to the root *kap- 'grey', cf. Ved. kapila- (cf. [Bailey 1979](src-320):56).}]",*kapā̆-,,Proto-Iranic,"Bailey (1979: 56) suggests a relation to *kap- ""grey"" in O.Ind. kapila- and to the blue/grey word *kapauta-, weiter dazu EWAia I: 303","Lexemes continuing Proto-Iranic *kapā̆- 'fish', generally found in Eastern Iranic as a replacement for inherited Proto-Indo-Iranic *matsi̯a- 'fish' ([ESIJa](src-331) 4:241-242, cf. [Bailey 1979](src-320):56, [Steblin-Kamenskij 1999](src-321):458). Perhaps further to an Indo-Iranic root *kap- 'grey', maybe in Vedic kapila- 'tawny, brown, reddish', but cf. [EWAia](src-172) I:300-303.",4,false,051-006,,0,false,,,
39,,"342[383-569{From *pénkʷe, the first of the indeclinable numerals in PIE. Cf. discussion pp.383-569.}];345[415-416{S.v. TochB piś 'five', which with TochA päñ reflects Proto-Tocharian *pi̯ä́ñćä- with differing reflexes of the final cluster. PToch *pi̯ä́ñćä- is from PIE *pénkʷe (cf. Skt. páñca, Arm. hing, Gk. πέντε, Lat. quīnque, Goth. fimf, OE fīf, Lith. penkì, etc.).}];105[316{S.v. Alb. pesë ~ pêsë 'five', from PAlb. *pentše going back to PIE *pénkʷe 'five' (cf. Skt. páñca, Gk. πέντε, Lat. quīnque, etc.).}];369[315-316{S.v. Alb. pésë / pẽs(ë) 'fünf', to be connected with PIE *pénkʷe 'five'. Cf. entry in Demiraj for discussion of the Albanian stem formation.}];79[409{S.v. Arm. hing 'five', from PIE *pénkʷe 'five' (cf. Skt. páñca, YAv. paṇca, MPers. panǰ, Gk. πέντε, Lat. quīnque, Goth. fimf, etc.).}];172[II:65-66{S.v. páñca 'fünf' (IIr. cf. YAv. paṇča 'fünf'), from PIE *pénkʷe (cf. Gk. πέντε, Arm. hing, Lat. quīnque, Goth. fimf, TochA päñ, TochB piś, etc.).}];353[351{S.v. Lith. penkì 'five' (Latv. pìeci), from PIE *penkʷe (cf. OCS pętь, Skt. páñca, Gk. πέντε, Lat. quīnque, Goth. fimf).}];81[400{S.v. Proto-Slavic *pętь 'five', from PIE *penkʷe (cf. Lith. penkì, Skt. páñca, Gk. πέντε, Lat. quīnque, Go. fimf).}];165[140{S.v. Proto-Germanic *fimfe 'five', from PIE *pénkʷe  (cf. Hitt. panza-, TochA päñ, TochB piś, Skt. páñca, YAv. paṇca, MPers. panǰ, Oss. fondz, Arm. hing, Alb. pesë / pẽsë, Gk. πέντε, Lat. quīnque, OIr. cóic, MW pymp, W pimp, Bret. pemp).}];54[509{S.v. Lat. quīnque 'five', from Proto-Italic *kʷenkʷe (cf. O. <b>pumperIas, púmperias</b> U. <b>pumpeřias</b> prob. 'fifth day', etc.), from PIE *penkʷe 'five' (cf. OIr. cóic, MW pymp, Skt. páñca, YAv. paṇca, Gk. πέντε, Arm. hing, Alb. pesë, OCS pętь, Lith. penkì, Goth. fimf, TochA päñ, TochB piś 'five').}];50[176-177{S.v. Proto-Celtic *kʷenkʷe 'five', from PIE *penkʷe 'five' (cf. Skt. páñca, Gk. πέντε, Lat. quīnque, Goth. fimf, Lith. penkì, OCS pętь, Alb. pesë).}];352[756-757{S.v. OLith. penkì 'fünf' (BSl. Latv. pìeci, OCS pętь, etc.), from PIE *pénkʷe 'fünf'.}];66[1172-1173{S.v. AGk. πέντε 'five' (Aeol. πέμπε) < PIE *penkʷe 'five'.}]",*pénkʷe,,Proto-Indo-European,,"Tocharian, Hellenic, Armenian, Albanian, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes continuing PIE *pénkʷe 'five', generally considered to be the Indo-European inherited numeral for 'five' (not attested in phonetic spellings in Anatolian languages). See [Eichner 1982](src-342):383-569 for extensive discussion, cf. also [Adams 2013](src-345):415-416, [Beekes 2010](src-66):1172-1173, [Martirosyan 2010](src-79):409, [Demiraj 1997](src-369):315-316, [Orel 1998](src-105):316, [EWAia](src-172) II:65-66, [ALEW](src-352) 756-767, [Derksen 2015](src-353):351, [Derksen 2008](src-81):400, [Kroonen 2013](src-165):140, [de Vaan 2008](src-54):509, [Matasović 2009](src-50):176-177.",4,false,052-002,,0,false,,,
41,,"363[I:399-400{S.v. Kurd. gul (f.) | guł 'цветок| роза', cf. Pers. gul 'rose, flower', Middle Persian varδa, Av. varəda-, cf. OInd. vardh-, [IEW](src-49) 1167 *u̯erdh-.}];172[II:520-521{Cf. s.v. Ved. √vardh- 'wachsen lassen, mehren', connected with Avestan vərəzda- 'vermehrt, zugewachsen, groß'. Connections outside of Indo-Iranian are difficult.}]",*u̯arda-,,Proto-Iranic,"The Avestan word varǝδa- refers to a plant ""v[ie]ll[eicht] Rose"" (Bartholomae 1904: 1369). The Sogdian word ""ward"" means ""rose"", which is a common meaning of 'flower' in most modern Iranic languages. Also attested in Parthian as wār.","Lexemes reflecting Proto-Iranic *u̯arda-, traditionally further connected to Vedic √vardh- 'to increase, grow' and further to an IE root *u̯erdʰ- (cf. [Cabolov 2001–2010](src-363) I:399-400, [IEW](src-49) 1167), but cf. [EWAia](src-172) II:520-521, [LIV²](src-141) 228 against connections of this proposed root outside of Indo-Iranic.",4,false,055-003,,0,false,,,
