id,alias,notes,justificationDiscussion,root_form,root_language,gloss_in_root_lang,loan_notes,loan_source,loanword,loanEventTimeDepthBP,loanSourceCognateClass_id,sourceFormInLoanLanguage,notProtoIndoEuropean,parallelLoanEvent,dubiousSet,parallelDerivation,revisedBy,revisedYet,ideophonic,proposedAsCognateTo_id,proposedAsCognateToScale,alsoUsedInOtherMeanings,name,lateParallelDerivationWithCognate_id,supersetid
14,A,,"Iranic and Baltic lexemes derived from PIE *k̑elH- 'to be cold, freeze' ({ref NIL} 416-417, cf. {ref EWAia} II:641, {ref Cheung 2007}:336-337, {ref ALEW} 1008-1009, {ref Derksen 2015}:439-440, {ref LIV²} 323).",*k̑elH-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,"Cf. 'freeze' in /cognate/1857/, 'hard' in /cognate/7235/.",,,183
15,A,"The Pashto form ra-tlal literally means ""to go hither"" (cf. rā in Morgenstierne 2003: 69).","A derivative of Proto-Iranic *tač- 'to flow, run, walk' + preverb rā- 'hither' ({ref Morgenstierne 2003}:81-82, {ref Cheung 2007}:372-374), further to PIE *tekʷ- 'to run, to flow' (cf. {ref EWAia} I:610-611, {ref LIV²} 610-611).",*tekʷ-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,"Cf. 'run' in /cognate/5199/, 'fly_V' in /cognate/3259/, 'river' in /cognate/5249/ 'swell' in /cognate/1881/, 'turn' in /cognate/3066/.",,,284
16,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
18,A,,"Lexemes derived from PIE *mer- 'to disappear; to die' ({ref LIV²} 439-440). Note that the semantic extension 'to disappear' as a euphemism 'to die' appears to be a post-Anatolian innovation, where the Hittite cognate mer-/mar- retains the original meaning 'to disappear' (cf. {ref Kloekhorst 2008}:8).",*mer-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,Cf.'kill' in /cognate/788/ and 'hit' in /cognate/712/.,,,221
20,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
21,A,,"Anatolian, Tocharian, Hellenic, Armenian, Indo-Iranic, Baltic, Germanic, Italic, and Celtic lexemes continuing PIE *k̑u̯ón-, *k̑un-, *k̑u̯n̥-, the inherited Indo-European word for 'dog' ({ref NIL} 436-440, {ref EIEC} 168, cf. {ref Melchert 1989}, {ref Kloekhorst 2008}:505-506, {ref Hilmarsson 1996}:187, {ref Adams 2013}:190, {ref Martirosyan 2010}:520-522, Beekes 2010}:811, {ref EWAia} II:674-675, {ref ALEW} 1054-1055, {ref Derksen 2015}:455, {ref Kroonen 2013}:256, {ref de Vaan 2008}:87, {ref Matasović 2009}:181).",*k̑u̯ón-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
22,A,Klingenschmitt (2000: 216 fn. 86) sets these words together with Pashto caṣǝl in relation to Old Ind. *cakṣ.,"Lexemes continuing Proto-Iranic *čaš- 'to drip; to drink, eat'? ({ref Cheung 2007}:35-36).",*čaš-,Proto-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
24,A,"Horn (1893: 201) suggests a derivation from the verbal root 'wart' ""to turn"". If so, all those languages that would preserve *#w would have to have loaned this word from languages like Persian.",,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
25,A,,"Iranic lexemes derived from Proto-Indo-Iranic *gʰau̯š- 'to hear, listen to' (cf. Vedic √ghoṣ- 'to sound'), further etymology outside of Indo-Iranic unclear ({ref Cheung 2007}:115-116, {ref EWAia} I:518-519; {ref LIV²} 200 mechanically reconstructs ?*g⁽ʷ⁾ʰeu̯s-).",*gʰau̯š-,Proto-Indo-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,Cf. 'hear' in /cognate/3393/.,,,349
27,A,,"Lexemes continuing Proto-Iranic *hu̯ar- 'to consume, eat', further connections uncertain ({ref Cheung 2007}:147-150, cf. {ref LIV²} 609).",*hu̯ar-,Proto-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,Cf. 'drink' in /cognate/3691/.,,,381
28,A,,"Hellenic, Armenian, Albanian, Iranic, Slavic, Germanic, Italic, and Celtic lexemes continuing PIE *h₂ōu̯ió- 'egg', which may be a vr̥ddhi-derivative to the Indo-European word for 'bird' *h₂eu̯-i- ({ref EIEC} 176, cf. /cognate/856/); alternatively {ref Schindler 1969} reconstructs an adpositional construction *ō-h₂uiom 'towards the bird'. For individual branches, cf. {ref Beekes 2010}:1681, {ref Martirosyan 2010}:439, {ref Orel 1998}:497, {ref Holm 2011}:60, {ref Abaev 1959–1995} I:41, {ref Bailey 1979}:30, {ref ESSJa} 1:61-64, {ref Derksen 2008}:27, {ref Kroonen 2013}:17, {ref de Vaan 2008}:438, {ref Matasović 2009}:50.",*h₂ōu̯ió-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
29,A,,"According to {ref Morgenstierne 2003}:77, as though from an Iranic diminutive *str̥-kā, and in view of the meaning 'planet' (cf. Avestan star- 'star', Vedic stár- 'id.) probably to be further connected to the Indo-European word for 'star', *h₂stér- (cf. {ref EWAia} II:755-756). The same semantic development is also attested in Modern Indic (cf. {ref Turner 1962–1966}:330 no. 5798).",*h₂ster-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,Cf. 'star' in /cognate/131/.,,,139
30,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
31,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
33,A,,,*ph₂ter-,Proto-Indo-European,father,,,False,,,,False,False,False,False,,False,False,,0,,,,
34,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
35,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
38,A,"Bailey (1979: 56) suggests a relation to *kap- ""grey"" in O.Ind. kapila- and to the blue/grey word *kapauta-, weiter dazu EWAia I: 303","Lexemes continuing Proto-Iranic *kapā̆- 'fish', generally found in Eastern Iranic as a replacement for inherited Proto-Indo-Iranic *matsi̯a- 'fish' ({ref ESIJa} 4:241-242, cf. {ref Bailey 1979}:56, {ref Steblin-Kamenskij 1999}:458). Perhaps further to an Indo-Iranic root *kap- 'grey', maybe in Vedic kapila- 'tawny, brown, reddish', but cf. {ref EWAia} I:300-303.",*kapā̆-,Proto-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
39,O,,"Tocharian, Hellenic, Armenian, Albanian, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes continuing PIE *pénkʷe 'five', generally considered to be the Indo-European inherited numeral for 'five' (not attested in phonetic spellings in Anatolian languages). See {ref Eichner 1982}:383-569 for extensive discussion, cf. also {ref Adams 2013}:415-416, {ref Beekes 2010}:1172-1173, {ref Martirosyan 2010}:409, {ref Demiraj 1997}:315-316, {ref Orel 1998}:316, {ref EWAia} II:65-66, {ref ALEW} 756-767, {ref Derksen 2015}:351, {ref Derksen 2008}:400, {ref Kroonen 2013}:140, {ref de Vaan 2008}:509, {ref Matasović 2009}:176-177.",*pénkʷe,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
40,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,"see 'float' in /cognate/1806/, 'fly' in /cognate/1993/, 'blow' in /cognate/1662/",,,
41,A,"The Avestan word varǝδa- refers to a plant ""v[ie]ll[eicht] Rose"" (Bartholomae 1904: 1369). The Sogdian word ""ward"" means ""rose"", which is a common meaning of 'flower' in most modern Iranic languages. Also attested in Parthian as wār.","Lexemes reflecting Proto-Iranic *u̯arda-, traditionally further connected to Vedic √vardh- 'to increase, grow' and further to an IE root *u̯erdʰ- (cf. {ref Cabolov 2001–2010} I:399-400, {ref IEW} 1167), but cf. {ref EWAia} II:520-521, {ref LIV²} 228 against connections of this proposed root outside of Indo-Iranic. ",*u̯arda-,Proto-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
42,A,"Wakhi: There is no reason to assume an Indic loanword, as the phonology is completely regular and the lexeme is robustly attested in Iranic.","Hellenic, Armenian, Indo-Iranic, Balto-Slavic, and Germanic lexemes derived from PIE *h₃mei̯gʰ- ({ref Beekes 2010}:1077, {ref Martirosyan 2010}:466, {ref EWAia} II:374-375, {ref ALEW} 649, {ref Derksen 2015}:317, {ref ESSJa} 21:93-94, {ref Derksen 2008}:338-339, {ref EWNl} 3:140, {ref Oxford English Dictionary (OED)}).",*h₃mei̯gʰ-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,"Cf. 'cloud' in /cognate/760/, 'rain' in /cognate/9517/.",,,150
43,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
44,N,,"The reflexes found in the individual languages reflect different generalised accent/ablaut classes of PIE *kʷetu̯or-, *kʷ(e)tu̯r̥-, *kʷ(e)tur- 'four'. For extensive discussion cf. {ref Eichner 1982}:298-382, cf. also {ref Adams 2013}:703, {ref Beekes 2010}:1471-1472, {ref Martirosyan 2010}:546-547, {ref Orel 1998}:173-174, {ref EWAia} I:526-527, {ref ALEW} 483-485, {ref Derksen 2015}:241, {ref ESSJa} 4:97-98, {ref Derksen 2008}:87, {ref Kroonen 2013}:133, {ref de Vaan 2008}:505-506, {ref Matasović 2009}:179.","*kʷetu̯or-, *kʷ(e)tu̯r̥-, *kʷ(e)tur-",Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,Cf. 'thigh' in /cognate/6732/.,,,178
45,A,,The Iranic lexemes in this class represent light verb constructions with Proto-Iranic *ai̯xa- 'ice' ({ref ESIJa} I:140-143) constituting the semantic head. Cf. 'ice' in /cognate/5932/ for further etymological discussion.,*ai̯xa-,Proto-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,"Cf. 'ice' in /cognate/5932/, 'cold' in /cognate/8137/",,,377
46,A,"Morgenstierne (2003: 53) quotes Henning (BSOAS 12/1: 56) for *migda-, cf. Sogdian mγδˀk. The COBL comment on Sogdian ""fruit"" considers it possible for this word to be a Semitic loanword. The reason that Sogdian in COBL does not show mγδˀk is that the source that was used to fill the Sogdian list uses another word instead.","As though continuing a Iranic stem *migda(ka)- 'fruit'; a probable loanword from West Semitic, cf. Biblical Hebrew מֶגֶד 'choice produce', Syriac maγδā 'fruit', etc. (cf. {ref Henning 1947}:56).",*migda(ka)-,Iranic,,"Cf. Biblical Hebrew מֶגֶד 'choice produce', Syriac maγδā 'fruit'",?West Semitic,True,,,,False,False,False,False,MJCS,True,False,,0,,,,
48,A,,"Lexemes continuing Proto-Iranic *u̯āstra- 'pasture, grass' ({ref Morgenstierne 2003}:93 {ref Steblin-Kamenskij 1999}:403, cf. {ref Bartholomae 1904}:1414, 1416).",*u̯āstra-,Proto-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
50,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
53,A,,"Hellenic, Albanian, and Indo-Iranic lexemes derived from a basic PIE root *k̑er- (cf. {ref Nussbaum 1986} for extensive discussion of formations in the meaning 'head' and 'horn' derived from this root), cf. also {ref Beekes 2010}:641, {ref Schumacher & Matzinger 2013}:237, {ref EWAia} II:638-639.",*k̑er-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,Cf. 'horn' in /cognate/2457/ and 'neck' in /cognate/7223/.,,,185
54,A,"Original meaning ""to observe"".","Ultimately a derivative of PIE 1. *ser- to look after, protect' ({ref Morgenstierne 2003}:10, {ref Cheung 2007}:129, cf. {ref LIV²} 534).",*ser-,Proto-Indo-European,,,,False,,,,False,False,False,False,,True,False,,0,,,,
56,A,,"Etymology uncertain, cf. {ref Morgenstierne 2003}:23 for a conjectural loanword hypothesis from Persian.",درون / droon,Pashto,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
57,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
58,A,,,wawal,Pashto,,,,False,,,,False,False,False,False,,False,False,,0,,,,
60,A,"cf. Parthian iškar- and Zoroastrian Middle Persian wiškar ""hunting ground, wilderness""; Cheung (2007: 345) puts this verb to an Iranic root *skar- ""pursue, drive, look for (the cattle)"".","Iranic lexemes continuing primary verbal derivatives and light-verb constructions continuing derivatives of Proto-Iranic *skar- 'to pursue, drive'; no known etymology outside of Iranic ({ref Cheung 2007}:346).",*skar-,Proto-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
61,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
62,A,,,*h₁ég̑(-),Proto-Indo-European,I,,,False,,,,False,False,False,False,,False,False,,0,,,,
64,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
65,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
67,A,Not in Morgenstierne (2003),,ډنډ / ddand,Pashto,,,,False,,,,False,False,False,False,,False,False,,0,,,,
68,A,,"Nuristani and Iranic lexemes fom Proto-Indo-Iranic *kʰand- 'to laugh' ({ref Turner 1962–1966}:200 no. 3815, {ref Cheung 2007}:442-443).",*kʰand-,Proto-Indo-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,Cf. 'play' in /cognate/8667/.,,,352
70,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
71,A,,"Lexemes as though from Proto-Germanic *baina- 'bone, leg' (North and West Germanic, but no attestation from Gothic), further etymology uncertain (cf. {ref Kroonen 2013}:48, {ref Kluge 2011}:105-106).",*baina-,Proto-Germanic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,"Cf. 'bone' in /cognate/191/, 'straight' in /cognate/2984/.",,,396
72,A,,"Tocharian, Greek, Armenian, Indo-Iranic, Balto-Slavic, Italic, and Celtic lexemes derived from PIE *gʷi̯eh₃- 'to live' ({ref LIV²} 215-216, cf. {ref Adams 2013}:683-684, {ref Beekes 2010}:505, {ref Martirosyan 2010}:356-357, {ref EWAia} I:594, {ref Cheung 2007}:222-223, {ref ALEW} 338-340, {ref Derksen 2008}:652, {ref de Vaan 2008}:685-686, {ref Matasović 2009}:67).",*gʷi̯eh₃-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,"Cf. 'belly' in /cognate/2238/, 'meat' in /cognate/2198/, 'heart' in /cognate/5140/, 'snake' in /cognate/1919/.",,,94
76,A,,"Indo-Iranic and Slavic lexemes derived from a PIE root *men- ({ref KEWA} II:575-576, {ref ESSJa} 20:158-161, {ref Derksen 2008}:330). Quite possibly (but not certainly) also cognate with Proto-Germanic *mannan- in /cognate/8248/, cf. further discussion in that cognate set. ",*men-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,8248,4,Cf. 'person' in /cognate/93/.,,,218
77,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
78,A,,"Derived from IE *gʷou̯- 'cow' ({ref Bailey 1979}:89, cf. {ref EWAia} I:478-480).",*gʷou̯-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
79,A,,,*méh₂ter-,Proto-Indo-European,mother,,,False,,,,False,False,False,False,,False,False,,0,"PIE *méh₂ter- or *mā́ter, which is *mā́ + suffix *-ter-; ultimately related to /cognate/1421/, cf. also /lexeme/10415/ and /cognate/1156/, for Indian words, see Turner 1931: 499; see also comment on 'woods' in /lexeme/26112/",,,
80,A,,"Indo-Iranic and Slavic lexemes derived from PIE *gʷerH- ({ref EWAia} I:487, {ref ESSJa} 7:29-31, {ref Derksen 2008}:177-178, cf. {ref ALEW} 332-333).",*gʷerH-,Proto-Indo-European,,,,False,,,,False,False,False,False,"MJCS, LJ",True,False,,0,"Cf. 'stone' in /cognate/488/, 'tree' in /cognate/2364/, 'forest' in /cognate/2365/.",,,91
81,A,,,khwala,Pashto,,,,False,,,,False,False,False,False,,False,False,,0,,,,
82,A,,"Anatolian, Tocharian, Hellenic, Armenian, Albanian, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes reflecting the Indo-European inherited word for 'name' (cf. {ref EIEC} 390-391). Certain details of the reconstruction of the PIE word are disputed (cf. {ref Stüber 1998}:53-59), but a general shape *Hneh₃-mn̥ with different ablaut variants of the root and suffix tend to be agreed upon. Debate on the identity of the initial laryngeal as *h₁ or *h₃ hinge on interpretation of the Doric Greek forms in ἐνυμα- versus the ὄνομα forms more commonly found elsewhere (cf. esp. discussions of {ref EWAia} II:35-37, {ref Beekes 2010}:1084-1085). Cf. also {ref Kloekhorst 2008}:517-519, {ref Adams 2013}:288, {ref Martirosyan 2010}:96-97, {ref Demiraj 1997}:165, {ref Orel 1998}:87, {ref Derksen 2015}:556-557, {ref Derksen 2008}:212, {ref Kroonen 2013}:382-383, {ref de Vaan 2008}:412-413, {ref Matasović 2009}:38).",*Hneh₃-mn̥,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
83,A,,"Iranic words for 'narrow' are better derived from *temk-, cf. already Horn 1893: 89 and Cheung 2007: 377f. Derivation from *tanu-ka- (thus e.g. Korn 2005: 168) might be formally possible but does not really explain the semantic difference found in Persian tang 'narrow' vs. tanuk 'thin'. None of the Iranic forms meaning 'narrow' require *tanu- or *tana-, while there is good evidence for a root *tank-/tanč- 'tp strain, press'.",*temk-,Proto-Indo-European,,,,False,,,,False,False,False,False,,False,False,,0,,,,287
84,A,,,*nazdii̯as-,Proto-Indo-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
86,A,,"Anatolian, Tocharian, Hellenic, Armenian, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes derived from PIE *neu̯- 'new' ({ref NIL} 524-526, cf. {ref Kloekhorst 2008}:605, {ref Adams 2013}:287-288, {ref Beekes 2010}:1009, {ref Hübschmann 1897}:479, {ref EWAia} II:25, {ref ALEW} 690-691, {ref Derksen 2015}:330-331, {ref ESSJa} 26:9-13, {ref Derksen 2008}:357, {ref Kroonen 2013}:389, {ref de Vaan 2008}:416, {ref Matasović 2009:293). Not the same root as PIE *neu̯- 'to nod, tilt (the head)' (cf. {ref LIV²} 455-456)",*neu̯-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,Cf. 'water' in /cognate/1563/.,,,430
87,A,,"Anatolian and Indo-Iranic lexemes derived from PIE *k⁽ʷ⁾sep- ({ref HED A+E/I}:431-435, {ref Kloekhorst 2008}:404, {ref {EWAia} I:424, cf. {ref Abaev 1959–1995} IV:230-231, {ref Sims-Williams 2007}:276).",*k⁽ʷ⁾sep-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,422
88,A,,"Parallel loans from Persian پوزه / pōz(e) 'muzzle, snout' (cf. {ref Morgenstierne 2003}:68).",[پوزه / pōz(e)],[Persian],,,Persian,True,,,پوزه / pōz(e),False,True,False,False,MJCS,True,False,,0,,,,
89,A,,,*ne,Proto-Indo-European,not (indicative negation),,,False,,,,False,False,False,False,,False,False,,0,,,,
91,A,,"The lexemes in this set continue a basic root *Hoi̯- 'single, alone' with different adjectival suffixes ({ref LIPP 2}:587-591): (1) *Hoi̯-ko- (Indic, cf. {ref EWAia} I:262-263, {ref Turner 1962–1966}:119 no. 2462); (2) *Hoi̯-u̯o- (Iranic, cf. {ref ESIJa} I:134-136, {ref EWAia} I:262-263); (3) *Hoi̯-no- (Balto-Slavic, Germanic, Italic, Celtic, cf. {ref ALEW} 1233-1236, {ref Derksen 2015}:501, {ref ESSJa} 6:11-13, {ref Derksen 2008}:138-139 212-213, {ref Kroonen 2013}:11, {ref de Vaan 2008}:642, {ref Matasović 2009}:304-305), ",*Hoi̯-,Proto-Indo-European,,,,False,,,,False,False,False,False,"CF, MJCS",True,False,,0,,,,
93,A,,"Indo-Iranic lexemes derived from a PIE root *men- ({ref KEWA} II:575-576). Quite possibly (but not certainly) also cognate with Proto-Germanic *mannan- in /cognate/8249/, cf. further discussion in that cognate set.",*men-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,8249,4,Cf. 'man' in /cognate/76/.,,,218
94,A,,,*u̯āz-,Proto-Iranic,,,,False,,,,False,False,False,False,,False,False,,0,,,,
95,A,"loaned into Armenian as քարշ kʿarš, cf. /cognate/627/","Indo-Iranic lexemes derived from PIE *kʷels- 'to draw a furrow' (cf. {ref EWAia} I:319-320, {ref LIV²} 388-389).",*kʷels-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,177
96,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
98,A,,"Lexemes derived from Proto-Indo-Iranic *ćau̯k- 'to shine, glow, burn'. Further etymology uncertain, perhaps PIE *k̑eu̯k- if Greek κύκνος 'swan' is to be connected with an original meaning *'the brightly white (bird)' ({ref EWAia} II:655-656, {ref LIV²} 331, cf. {ref Abaev 1959–1995} III:208-210).",*ćau̯k-,Proto-Indo-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,"Cf. 'burn' in /cognate/12/, 'fight' in /cognate/6758/, 'white' in /cognate/4407/.",,,361
99,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
100,B,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
101,A,,Parallel loans from Persian دريا / daryā; cf. 'lake' in /cognate/2771/ and 'sea' in /cognate/2011/.,[دريا / daryā],[Persian],,,Persian,True,,5675,دريا / daryā,False,True,False,False,,False,False,,0,,,,
103,A,"Bailey (1979: 111a) assumes a -xa- suffix for this word. Klingenschmitt (2000: 203) calles this ""Suffixtausch"" of *-xa- and *-ka-",,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
104,A,comp. /lexeme/1883/,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
105,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
108,A,"cf. Vedic síkatā-, later sigatā- unlike Old Persian θikā- 'pebbles', cf. also cognate/7858/  ","The correspondence of Indic initial *s- with Iranic *θ-, *s- is irregular, suggesting a possible parallel loan from a third-source or lexical contamination within Indic or Iranic (cf. {ref Turner 1962–1966}:772, no. 13386); {ref EWAia} II:728, however, considers the Indic and Iranic forms not to be separated.",*Sikatā-,Proto-Indo-Iranic,,,,False,,,,True,False,False,False,MJCS,True,False,,0,Cf. 'earth' in /cognate/5054/.,,,345
110,A,"if cogn. with Pasht. gəraw- 'to scratch', then fr. IE *kreu- and cognate with 'hit' in /lexeme/18777/",,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
111,A,,Loan from Arabic بحر / baḥr 'sea' ({ref Cabolov 2001–2010} I:110).,baḥr,Kurdish,,,Arabic,True,,,بحر / baḥr,False,True,False,False,MJCS,True,False,,0,,,,
113,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
114,H,,"Lexemes continuing Proto-Iranic *derb- 'to join, tie, sew (together)', and further to PIE ?*derbʰ- 'to bind together, braid' (cf. {ref LIV²} 121).",?*derbʰ-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
115,A,,"Indo-Iranic lexemes from Proto-Indo-Iranic *√tej- 'to sharpen' from PIE *(s)tei̯g- 'prick, be sharp' ({ref EWAia} I: 645, 668-669, cf. {ref LIV²} 592-593). For Middle and Modern Indic lexemes attached to this class, cf. {ref Turner 1962–1966}:332-333, no. 5839.",*(s)tei̯g-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,21
116,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
118,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
119,A,,"Modern Hellenic lexemes, ultimately from an Ancient Greek diminutive formation πέσκος 'skin, rind'. Further etymology uncertain cf. {ref Andriotis 1999}:1168, {ref Chantraine 1968–1980}:890, {ref Beekes 2010}:1180.",πέσκος / péskos,Greek: Ancient,,,,False,,,,False,False,False,False,MJCS,True,False,,0,Cf. 'bark' in /cognate/5867/.,,,61
121,A,,"Continuing a derivative of PIE *kemb- 'small', assuming a connection with Proto-Iranic *kamb- 'lesser' ({ref Kloekhorst 2008}:439, cf. {ref Schmitt 2014}:198-199 s.v. OPers. *kamna-).",*kemb-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,428
122,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
