id,gloss,description,notes,percent_coded,doubleCheck,exclude,meaningSetIx,tooltip,meaningSetMember,exampleContext,ixElicitation,concepticon_id
43,fat,,,87.02702702702703,True,True,0,"Noun, not adjective:  the substance.  'Fat' as opposed to muscle, bone, skin, etc..  *Not* the opposite of 'thin'.",0,Cut the fat off the meat.,140,323
44,father,,,87.16577540106952,False,True,0,,0,Everyone has a father and a mother.,72,1217
45,fear,,,98.99497487437186,True,False,0,,0,"While the dog was here, I was scared.",234,1419
46,feather,,,98.85057471264368,False,False,0,,0,What bird does this feather come from?,84,1201
47,few,,,81.81818181818181,False,False,0,,0,It's a small village. There are few houses. (Eng. There are not many houses.),907,1242
48,fight,,,96.46017699115045,False,False,0,,0,The two men are fighting outside.,254,1423
49,nail,,,98.83720930232558,False,False,0,"Nail of a finger/toe, not for hammering.",0,He had very long nails on his fingers.,45,1896
50,fire,,,99.45054945054945,False,False,0,,0,"He was cold, so he moved closer to the fire.",130,221
51,fish,,,99.4047619047619,False,False,0,,0,I can see a fish swimming in the water.,91,227
52,five,,,100.0,False,False,0,,0,Four plus one is five.,5,493
53,float,,,90.12345679012346,False,False,0,,0,The leaf is floating on the river.,908,1574
54,flow,,,89.0909090909091,False,False,0,,0,"The river flows, e.g. past the village, to the sea etc.",909,2003
55,flower,,,97.79005524861878,False,False,0,"The noun ‘(a) flower’, *not* the verb ‘bloom’.",0,What type of flower is this?,105,239
56,fly_V,,,100.0,False,False,0,The verb ‘(to) fly’.,0,Birds can fly but people cannot.,202,1441
57,fog,,,97.63313609467455,False,False,0,,0,I couldn't see the village because of the fog.,125,249
58,foot,,,99.47368421052632,False,False,0,,0,Her foot is injured so she cannot walk.,55,1301
59,four,,,100.0,False,False,0,,0,Four plus one is five.,4,1500
60,freeze,,,98.73417721518987,False,False,0,,0,"When water freezes, it turns to ice. ",282,1431
61,fruit,,,98.96907216494846,False,False,0,,0,He picked fruit from the trees.,145,1507
62,full,,,99.43502824858757,False,False,0,,0,An empty pot is easier to carry than a full pot. (WOLD),165,1429
63,give,,,100.0,False,False,0,,0,She wanted to cut the (insert name of local fruit). He gave her a knife.,252,1447
64,good,,,99.4949494949495,False,False,0,,0,That is a good idea.,150,1035
65,grass,,,99.42857142857143,False,False,0,,0,There is grass growing beside the river.,107,606
66,green,,,99.43502824858757,False,False,0,,0,The grass was fresh and green.,177,1425
67,guts,,,96.96969696969697,False,False,0,,0,He cut open the animal and pulled out its guts.,49,1334
68,hair,,,98.53658536585365,False,False,0,"Hair of the head, not the body.  Of people, not of animals.",0,She pulled him by his hair.,32,2648
69,hand,,,99.46524064171123,False,False,0,,0,He burned his hand.,42,1277
70,he,,,78.64077669902913,False,False,0,,0,,910,1211
71,head,,,98.93048128342247,False,False,0,,0,He has lots of hair on his head.,31,1256
72,hear,,,99.43181818181819,False,False,0,,0,I heard a noise last night.,206,1408
73,heart,,,99.45054945054945,False,False,0,,0,His heart was beating fast.,60,1223
74,heavy,,,98.33333333333333,False,False,0,,0,The rock was very heavy.,164,1210
75,here,,,83.72093023255815,False,True,0,,0,The knife is here.,300,136
76,hit,,,97.95918367346938,False,False,0,"The verb '(to) hit', not the noun for a blow or strike.",0,He hit the ball with the stick.,270,1433
77,hold,,,87.23404255319149,False,False,0,,0,He is holding a stick in his hand.,911,1448
78,horn,,,99.44134078212291,False,False,0,,0,Some animals have horns. Humans do not.,81,1393
79,how,,,84.02366863905326,False,True,0,,0,How do you make fire?,316,1239
80,hunt,,,100.0,False,False,0,"The verb '(to) hunt', not the noun '(a) hunt'.",0,He’s hunting animals in the forest.,286,1435
81,husband,,,81.75182481751825,False,False,0,,0,,64,1200
82,I,,,87.57062146892656,False,True,0,*See full meaning description.^See full meaning description.*,0,*See full meaning description.*,319,1209
83,ice,,,100.0,False,False,0,,0,The ice is melting in the sun.,123,617
84,if,,,79.20792079207921,False,False,0,,0,"If she does this, then it will happen.",912,1459
85,in,,,87.5,False,False,0,,0,The dog is in a basket.,913,1460
86,kill,,,99.49748743718592,False,False,0,,0,They started fighting. He killed him.,256,1417
87,knee,,,99.42528735632185,False,False,0,,0,He put his hand on his knee.,54,1371
88,know,,,99.46808510638297,True,False,0,"Know a fact, *not* a person.  I.e. ‘be aware of’, not ‘be acquainted with’.",0,They know that we’re coming.,236,1410
89,lake,,,98.27586206896552,False,False,0,,0,Her house is beside the lake.,128,624
90,laugh,,,100.0,False,False,0,,0,"When I saw him, he was laughing.",242,1355
91,leaf,,,100.0,False,False,0,,0,He picked a leaf from the tree.,102,628
92,left,,,99.4186046511628,False,False,0,"The opposite of 'right (hand side)'.  Adjective, not adverb.",0,He is blind in his left eye.,305,244
93,leg,,,99.4047619047619,False,False,0,,0,He fell and broke his leg.,52,1297
94,lie,,,78.85714285714286,True,True,0,"Stative verb, i.e. 'be lying (down).  *Not* the English homonym 'tell untruths'. ",0,She was lying on the ground.,192,1411
95,live,,,98.93617021276596,True,False,0,Verb 'be alive'. *Not* 'dwell' in a place.,0,How many years can people live for?,212,2309
96,liver,,,99.40119760479043,False,False,0,,0,When he died they found that his liver was very swollen.,61,1224
97,long,,,100.0,False,False,0,,0,This is a long rope; that is a short rope.,158,1203
98,louse,,,100.0,False,False,0,,0,I picked a louse from his hair.,96,1392
99,man,,,98.19004524886878,False,False,0,"Specifically an adult male, not the (outdated) generic sense of ‘person’ or ‘humankind’.",0,I saw a man and a woman.,63,1554
100,many,,,88.59649122807018,False,False,0,,0,We picked many (a lot of) (insert name of local fruit) today.,914,1198
101,meat,,,100.0,False,False,0,,0,What animal does this meat come from?,137,634
102,moon,,,100.0,False,False,0,,0,I saw the moon in the sky.,113,1313
103,mother,,,88.57142857142857,False,True,0,,0,Everyone has a father and a mother.,73,1216
104,mountain,,,98.98989898989899,False,False,0,,0,He started to climb the mountain.,118,639
105,mouth,,,99.44444444444444,False,False,0,,0,He put his fingers in his mouth.,36,674
106,name,,,100.0,False,False,0,,0,What is your name?,78,1405
107,narrow,,,97.98994974874371,False,False,0,"Of a gap, opposite of ‘wide’.  *Not* of an object, i.e. *not* the opposite of ‘broad, thick’. ",0,"The canyon is wide here, but further down it's narrow.",161,1267
108,near,,,96.68508287292818,False,False,0,"Adverb, not adjective.",0,You can walk there in one day; it's near.,301,1942
109,neck,,,98.0295566502463,False,False,0,,0,He put his hand on his neck.,39,1333
110,new,,,100.0,False,False,0,,0,He lives in the new house; not in the old house.,154,1231
111,night,,,100.0,False,False,0,,0,Night and day.,114,1233
112,nose,,,99.42857142857143,False,False,0,,0,"While fighting, he hit him on the nose.",34,1221
113,not,,,90.21739130434783,False,True,0,,0,I do not understand.,308,1240
114,old,,,98.96373056994818,False,False,0,"The opposite of ‘new’, not the opposite of ‘young’ (if distinguished).",0,"He lives in the old house, not in the new house.",153,1229
115,one,,,100.0,False,False,0,,0,One plus one is two.,1,1493
116,other,,,91.34615384615384,False,False,0,,0,He opened one eye and kept the other eye closed.,915,197
117,person,,,98.15668202764977,True,False,0,,0,Only one person at a time can pass through the gate.,62,683
118,play,,,98.80239520958084,True,False,0,"Transitive verb, ‘playing’ a game for amusement.  *Not* ‘playing’ a musical instrument.",0,They’re playing a game outside.,250,1413
119,pull,,,97.8021978021978,False,False,0,,0,He was pushing and pulling the furniture around the room.  ,262,1455
120,push,,,97.84946236559139,False,False,0,,0,He was pushing and pulling the furniture around the room.  ,260,1452
121,rain,,,97.20670391061452,False,False,0,,0,I saw him standing in the rain.,126,1253
122,red,,,100.0,False,False,0,,0,Blood is red.,179,156
123,true,,,89.70588235294117,True,True,0,,0,The story he is telling is true.,176,1657
124,right,,,100.0,True,False,0,"Opposite of ‘left’.  *Not* right in the sense of ‘correct, accurate’.  The adjective form of right, not the adverb.",0,He is blind in his right eye.,304,1019
125,river,,,98.50746268656717,False,False,0,,0,He lives beside the river.,127,666
126,road,,,87.09677419354838,False,False,0,,0,,916,667
127,root,,,98.27586206896552,False,False,0,,0,You could see some of the roots of the tree above the ground.,104,670
128,rope,,,86.32478632478633,False,False,0,,0,,917,1218
129,rotten,,,96.68508287292818,False,False,0,,0,That fruit is rotten.,152,1728
130,round,,,99.37106918238993,False,False,0,,0,That table is round.,171,1395
131,rub,,,83.69565217391305,False,False,0,,0,He rubbed his belly.,918,1449
132,salt,,,99.4186046511628,False,False,0,,0,She puts too much salt in her food.,139,1274
133,sand,,,99.42528735632185,False,False,0,,0,She let the sand fall through her hands.,120,671
134,say,,,98.57142857142857,False,False,0,,0,She said that she would be late.,246,1458
135,scratch,,,97.6878612716763,False,False,0,,0,She scratched her head.,274,1436
136,sea,,,100.0,False,False,0,,0,Her house is beside the sea.,129,1474
137,see,,,99.45054945054945,False,False,0,,0,I see him every day on the road.,204,1409
138,seed,,,99.47089947089947,False,False,0,,0,You can eat the seeds of (insert name of local fruit).,106,714
139,sew,,,100.0,False,False,0,,0,He sewed the two pieces of cloth together.,278,1457
140,sharp,,,97.42268041237114,False,False,0,,0,A sharp knife cuts better than a blunt one.,173,1396
141,short,,,100.0,False,False,0,,0,This is a short rope; that is a long rope.,159,1645
142,sing,,,100.0,False,False,0,,0,I heard him yesterday. He was singing.,248,1261
143,sit,,,99.42528735632185,True,False,0,"Stative verb, ‘be sitting’, *not* change of state ‘sit down’. ",0,He is sitting over there.,190,1416
144,skin,,,99.5,False,False,0,,0,His skin was old and hard.,56,763
145,sky,,,99.4475138121547,False,False,0,,0,There were white clouds in the blue sky.,108,1732
146,sleep,,,98.86363636363636,False,False,0,,0,He is sleeping in the house.,216,1585
147,small,,,97.87234042553192,False,False,0,,0,This is a small stone. That is a big stone.,170,1246
148,smell,,,99.40119760479043,True,False,0,Verb for a person *perceiving* an odour (transitive).  *Not* the sense of emitting an odour (intransitive).  ,0,I (can) smell smoke.,208,1586
149,smoke,,,100.0,False,False,0,,0,I could see the smoke from the fire.,131,778
150,smooth,,,97.26775956284153,False,False,0,,0,He picked a smooth stone from the river.,174,1234
151,snake,,,100.0,False,False,0,,0,He jumped when he saw the snake.,89,730
152,snow,,,99.4047619047619,False,False,0,,0,There was snow on the ground.,124,784
153,some,,,74.76635514018692,False,False,0,,0,There are some (insert name of local fruit) in the basket,919,1241
154,spit,,,83.54430379746836,False,True,0,,0,He spat on the ground.,224,1440
155,split,,,77.88461538461539,False,False,0,,0,,920,1437
156,squeeze,,,80.58252427184466,False,False,0,,0,Don't squeeze the ball - you'll burst it!,921,1414
157,stab,,,78.3132530120482,False,False,0,,0,I stabbed him in the belly (with a knife).,922,1434
158,stand,,,97.72727272727273,True,False,0,"Stative verb, ‘be standing’, *not* change of state ‘get up, stand up’. ",0,He is standing over there.,188,1442
159,star,,,100.0,False,False,0,,0,There were many stars in the night sky.,115,1430
160,stick,,,97.61904761904762,False,False,0,"The noun ‘(a) stick’ (e.g. of wood), not the verb for ‘adhere’. ",0,He carried a stick under his arm.,101,1295
161,stone,,,99.48186528497409,False,False,0,,0,He held the stone in his hand,119,857
162,straight,,,100.0,False,False,0,,0,"This stick is straight, but that one is bent.",175,1404
163,suck,,,85.71428571428571,False,False,0,,0,,923,1421
164,sun,,,100.0,False,False,0,,0,"During the day, the sun is in the sky; at night, it's not.",111,1343
165,swell,,,100.0,True,False,0,,0,His arm swelled after he was injured.,222,1573
166,swim,,,100.0,False,False,0,,0,He is swimming in the lake.,200,1439
167,tail,,,98.50746268656717,False,False,0,,0,The dog wagged its tail.,82,1220
168,that,,,84.04255319148936,False,True,0,,0,I used that knife.,299,78
169,there,,,82.38636363636364,False,True,0,,0,The knife is (over) there.,302,1937
170,they,,,77.8409090909091,False,True,0,^See full meaning description.*,0,^See full meaning description.*,323,817
171,thick,,,97.79005524861878,False,False,0,,0,That tree trunk is thick; it would take a long time cut through.,162,1244
172,thin,,,83.51648351648352,True,True,0,"'Thin' of an object, not a person.  Opposite of 'thick', not of 'fat'.",0,"This piece of wood is thin, and that one is thick.",163,0
173,think,,,97.88359788359789,True,False,0,"Verb for the mental activity, the process of thinking; the basic, generic lexeme for ‘cogitate, be thinking about something’.  *Not* in the sense of ‘have an opinion’.",0,What are you doing?  I'm just thinking.,238,1415
174,this,,,86.1878453038674,False,True,0,,0,I used this knife.,298,1214
175,you_sg.,,,88.52459016393442,False,True,0,^See full meaning description.*,0,^See full meaning description.*,320,0
176,three,,,100.0,False,False,0,,0,Three plus one is four.,3,492
177,throw,,,95.37037037037037,False,False,0,,0,He threw a stick into the water.,284,1456
178,tie,,,97.01492537313433,False,False,0,"The verb ‘(to) tie’, not the noun for the article of clothing.",0,He tied the two sticks together.,266,1917
179,tongue,,,99.43181818181819,False,False,0,,0,He stuck his tongue out.,38,1205
180,tooth,,,99.43181818181819,False,False,0,,0,You can break a tooth if you bite on hard food.,37,1380
181,tree,,,98.42105263157895,False,False,0,,0,There is a tree beside the house.,97,906
182,turn,,,96.65071770334929,False,False,0,,0,It was heavy so it was hard to turn it.,186,1588
183,two,,,100.0,False,False,0,,0,One plus one is two.,2,1498
184,vomit,,,98.89502762430939,True,False,0,,0,He ate something bad and threw up (vomited).,226,1278
185,walk,,,97.53694581280789,False,False,0,"The verb '(to) walk', not the noun '(a) walk'.",0,People can walk but fish cannot.,196,1443
186,hot,,,100.0,False,False,0,,0,The rocks get hot during the day and cold at night.,156,1286
187,wash,,,98.93048128342247,False,False,0,,0,She washed her hands.,276,1453
188,water,,,100.0,False,False,0,,0,"She was thirsty, so she drank some water.",122,948
189,we,,,92.0,False,True,0,^See full meaning description.*,0,^See full meaning description.*,321,1212
190,wet,,,97.74011299435028,False,False,0,,0,Is it wet or dry?,168,1726
191,what,,,90.3409090909091,False,True,0,,0,What are you eating?,318,1236
192,when,,,90.85365853658537,False,True,0,,0,When will we meet again?,315,1238
193,where,,,90.58823529411765,False,True,0,,0,Where is the knife?,314,1237
194,white,,,99.47643979057591,False,False,0,,0,There is a white cloud in the sky.,181,1335
195,who,,,91.2280701754386,False,True,0,,0,Who killed this dog?,317,1235
196,wide,,,98.44559585492227,True,False,0,"Of a gap, opposite of ‘narrow’.  *Not* of an object, *not* the opposite of ‘thick’. ",0,"The canyon is wide here, but further down it's narrow.",160,1243
197,wife,,,82.08955223880596,False,False,0,,0,,66,1199
198,wind,,,98.91304347826087,False,False,0,"The noun ‘(a) wind’, the weather word /wɪnd/, not the verb /waind/.",0,She felt the wind in her face.,116,960
199,wing,,,99.39759036144578,False,False,0,,0,Birds have wings; people do not.,85,1257
200,wipe,,,85.22727272727273,False,False,0,,0,He wiped the sweat from his brow.,924,1454
201,with,,,88.88888888888889,False,True,0,,0,I saw him walking with a friend.,307,1340
202,woman,,,97.1830985915493,False,False,0,,0,I saw a man and a woman.,65,962
203,forest,,,100.0,False,False,0,,0,There are many animals in the forest.,98,420
204,worm,,,98.90710382513662,False,False,0,,0,Don’t step on that worm.,90,1219
205,you_pl.,,,85.3932584269663,False,True,0,^See full meaning description.*,0,^See full meaning description.*,322,0
206,year,,,99.47368421052632,False,False,0,,0,The year is almost over.,133,1226
207,yellow,,,100.0,False,False,0,,0,Egg yolk is yellow,178,1424
208,ant,,,100.0,False,False,0,,0,There's an ant climbing up your leg.,93,587
209,thigh,,,100.0,False,False,0,,0,He slapped his thigh.,53,800
210,navel,,,100.0,False,False,0,,0,One could see his navel.,50,1838
211,fly_N,,,100.0,False,False,0,The noun for the insect ‘(a) fly’.,0,He killed a fly.,94,1504
212,yesterday,,,100.0,False,False,0,,0,I haven't seen him today but I saw him yesterday.,310,1174
213,shadow,,,98.75,False,False,0,,0,He could see his shadow on the ground.,110,2275
214,house,,,99.48186528497409,False,False,0,,0,His house is at the edge of the village.,136,1252
215,bitter,,,99.36708860759494,False,False,0,,0,The leaves tasted bitter.,148,887
216,hard,,,100.0,False,False,0,,0,It was very hard. When he bit it he broke his tooth.,172,1884
217,sweet,,,100.0,False,False,0,,0,"This apple is ripe now, it tastes sweet.",155,717
218,go,,,100.0,True,False,0,,0,I saw him on the road. I don't know where he was going.,182,695
219,run,,,99.4186046511628,False,False,0,,0,Can you run fast?,198,1519
220,carry,,,100.0,False,False,0,,0,She carried her bag [under her arm].,268,700
221,take,,,99.4047619047619,False,False,0,,0,Take the money when you go.,258,1749
222,hide,,,100.0,False,False,0,"The verb ‘to (hide)’, not the noun for an animal skin.",0,They hid their food from the animals.,294,602
223,cry,,,99.39759036144578,False,False,0,"The sense of shedding tears, *not* shouting out.",0,She was crying when I saw her.,244,1839
224,do,,,100.0,True,False,0,.,0,What did you **do** in the village yesterday?,210,813
225,grind,,,99.37106918238993,False,False,0,,0,He’s grinding flour.,290,1033
226,claw,,,100.0,False,False,0,,0,The cat scratched me with its claws.,83,72
227,six,,,22.22222222222222,False,False,0,,0,,6,1703
228,seven,,,22.22222222222222,False,False,0,,0,,7,1704
229,eight,,,84.21052631578948,False,False,0,,0,,8,1705
230,nine,,,22.22222222222222,False,False,0,,0,,9,1483
231,ten,,,30.0,False,False,0,,0,,10,1515
232,eleven,,,82.3529411764706,False,False,0,,0,,11,1706
233,twelve,,,27.77777777777778,False,False,0,,0,,12,1707
234,thirteen,,,26.31578947368421,False,False,0,,0,,13,1708
235,fourteen,,,22.22222222222222,False,False,0,,0,,14,0
236,fifteen,,,84.21052631578948,False,False,0,,0,,15,1709
237,sixteen,,,22.22222222222222,False,False,0,,0,,16,0
238,seventeen,,,17.647058823529413,False,False,0,,0,,17,0
239,eighteen,,,70.58823529411765,False,False,0,,0,,18,1713
240,nineteen,,,22.22222222222222,False,False,0,,0,,19,1714
241,twenty,,,30.0,False,False,0,,0,,20,1710
242,twenty-one,,,16.666666666666668,False,False,0,,0,,21,0
243,thirty,,,26.31578947368421,False,False,0,,0,,22,1715
244,forty,,,26.31578947368421,False,False,0,,0,,23,1716
245,fifty,,,40.0,False,False,0,,0,,24,1717
246,sixty,,,26.31578947368421,False,False,0,,0,,25,1718
247,seventy,,,22.22222222222222,False,False,0,,0,,26,1721
248,eighty,,,83.33333333333333,False,False,0,,0,,27,1722
249,ninety,,,22.22222222222222,False,False,0,,0,,28,1724
250,hundred,,,84.21052631578948,False,False,0,,0,,29,1634
251,two_hundred,,,12.5,False,False,0,,0,,30,0
252,throat,,,22.22222222222222,False,False,0,,0,,40,1346
253,arm,,,61.111111111111114,False,False,0,,0,,41,1673
254,elbow,,,25.0,False,False,0,,0,,43,981
255,finger,,,52.63157894736842,False,False,0,,0,,44,1303
256,stomach_organ,,,11.764705882352942,False,False,0,,0,,48,819
257,urine,,,19.047619047619047,False,False,0,,0,,59,1142
258,boy,,,52.63157894736842,False,False,0,,0,,68,1366
259,son,,,33.333333333333336,False,False,0,,0,,69,1620
260,girl,,,22.22222222222222,False,False,0,,0,,70,1646
261,daughter,,,78.94736842105263,False,False,0,,0,,71,1357
262,brother,,,77.27272727272727,False,False,0,,0,,74,1262
263,sister,,,25.0,False,False,0,,0,,75,1263
264,groom,,,80.95238095238095,False,False,0,,0,,76,0
265,bride,,,70.58823529411765,False,False,0,,0,,77,1266
266,cat,,,63.1578947368421,False,False,0,,0,,80,1208
267,lion,,,33.333333333333336,False,False,0,,0,,86,1386
268,wolf,,,22.22222222222222,False,False,0,,0,,87,522
269,fox,,,78.94736842105263,False,False,0,,0,,88,1312
270,scorpion,,,22.22222222222222,False,False,0,,0,,95,1538
271,wood,,,33.333333333333336,False,False,0,,0,,99,1803
272,branch,,,63.1578947368421,False,False,0,,0,,100,1531
273,summer,,,25.0,False,False,0,,0,,134,1342
274,winter,,,30.0,False,False,0,,0,,135,1471
275,rice,,,17.647058823529413,False,False,0,,0,,138,926
276,milk,,,33.333333333333336,False,False,0,,0,,142,635
277,honey,,,88.23529411764706,False,False,0,,0,,143,942
278,walnut,,,6.666666666666667,False,False,0,,0,,144,2042
279,hungry,,,50.0,False,False,0,,0,,146,0
280,thirsty,,,22.22222222222222,False,False,0,,0,,147,847
281,fresh,,,6.666666666666667,False,False,0,,0,,149,243
282,go_pst3sg,,,0.0,False,False,0,,0,,183,695
283,come_pst3sg,,,0.0,False,False,0,,0,,185,1446
284,turn_pst3sg,,,0.0,False,False,0,,0,,187,1588
285,stand_pst3sg,,,31.25,False,False,0,,0,,189,1442
286,sit_pst3sg,,,0.0,False,False,0,,0,,191,1416
287,lie_pst3sg,,,0.0,False,False,0,,0,,193,1411
288,fall_pst3sg,,,0.0,False,False,0,,0,,195,1280
289,walk_pst3sg,,,5.882352941176471,False,False,0,,0,,197,1443
290,run_pst3sg,,,0.0,False,False,0,,0,,199,1519
291,swim_pst3sg,,,0.0,False,False,0,,0,,201,1439
292,fly_pst3sg,,,0.0,False,False,0,,0,,203,1441
293,hear_pst3sg,,,0.0,False,False,0,,0,,207,1408
294,see_pst3sg,,,0.0,False,False,0,,0,,205,1409
295,smell_pst3sg,,,26.666666666666668,False,False,0,,0,,209,1586
296,do_pst3sg,,,0.0,False,False,0,,0,,211,813
297,live_pst3sg,,,0.0,False,False,0,,0,,213,2309
298,die_pst3sg,,,0.0,False,False,0,,0,,215,1494
299,sleep_pst3sg,,,0.0,False,False,0,,0,,217,1585
300,breathe_pst3sg,,,73.33333333333333,False,False,0,,0,,219,1407
301,blow_pst3sg,,,15.384615384615385,False,False,0,,0,,221,0
302,swell_pst3sg,,,7.6923076923076925,False,False,0,,0,,223,1573
303,spit_pst3sg,,,0.0,False,False,0,,0,,225,1440
304,vomit_pst3sg,,,0.0,False,False,0,,0,,227,1278
305,bite_pst3sg,,,66.66666666666667,False,False,0,,0,,229,1403
306,eat_pst3sg,,,0.0,False,False,0,,0,,231,1336
307,drink_pst3sg,,,0.0,False,False,0,,0,,233,1401
308,fear_pst3sg,,,0.0,False,False,0,,0,,235,1419
309,know_pst3sg,,,0.0,False,False,0,,0,,237,1410
310,think_pst3sg,,,64.70588235294117,False,False,0,,0,,239,1415
311,count_pst3sg,,,0.0,False,False,0,,0,,241,1420
312,laugh_pst3sg,,,0.0,False,False,0,,0,,243,1355
313,cry_pst3sg,,,0.0,False,False,0,,0,,245,1839
314,say_pst3sg,,,0.0,False,False,0,,0,,247,1458
315,sing_pst3sg,,,12.5,False,False,0,,0,,249,1261
316,play_pst3sg,,,0.0,False,False,0,,0,,251,1413
317,give_pst3sg,,,0.0,False,False,0,,0,,253,1447
318,fight_pst3sg,,,0.0,False,False,0,,0,,255,1423
319,kill_pst3sg,,,0.0,False,False,0,,0,,257,1417
320,take_pst3sg,,,0.0,False,False,0,,0,,259,1749
321,push_pst3sg,,,0.0,False,False,0,,0,,261,1452
322,pull_pst3sg,,,0.0,False,False,0,,0,,263,1455
323,close,,,76.47058823529412,False,False,0,,0,,264,0
324,close_pst3sg,,,68.75,False,False,0,,0,,265,0
325,tie_pst3sg,,,0.0,False,False,0,,0,,267,1917
326,carry_pst3sg,,,77.77777777777777,False,False,0,,0,,269,700
327,hit_pst3sg,,,0.0,False,False,0,,0,,271,1433
328,cut_pst3sg,,,70.58823529411765,False,False,0,,0,,273,1432
329,scratch_pst3sg,,,0.0,False,False,0,,0,,275,1436
330,wash_pst3sg,,,0.0,False,False,0,,0,,277,1453
331,sew_pst3sg,,,0.0,False,False,0,,0,,279,1457
332,burn_pst3sg,,,73.33333333333333,False,False,0,,0,,281,2102
333,freeze_pst3sg,,,0.0,False,False,0,,0,,283,1431
334,throw_pst3sg,,,33.333333333333336,False,False,0,,0,,285,1456
335,hunt_pst3sg,,,0.0,False,False,0,,0,,287,1435
336,pour,,,25.0,False,False,0,,0,,288,1487
337,pour_pst3sg,,,23.529411764705884,False,False,0,,0,,289,1487
338,sweep,,,25.0,False,False,0,,0,,296,230
339,sweep_pst3sg,,,7.6923076923076925,False,False,0,,0,,297,230
340,grind_pst3sg,,,0.0,False,False,0,,0,,291,1033
341,dig_pst3sg,,,0.0,False,False,0,,0,,293,1418
342,hide_pst3sg,,,27.77777777777778,False,False,0,,0,,295,602
