id,pages,reliability,comment,cognate_class_id,source_id,rfcWeblink
43,95–96,A,"S.v. Arm. antaṙ 'forest'. Several interpretations from different IE sources are possible, but ultimately the origin is uncertain. Cf. entry in Martirosyan for an examination of possible proposals.",672,79,
45,153-154,A,"Discussed s.v. Arm. awij-kʻ 'collar'. No widely accepted etymology. Possibly to Gk. αὐχήν 'nape' (Aeol. ἀμφήν) to PIE *h₂u̯eg̑ʰ- but the relationship between Armenian viz, dial. xiz, Armenian awji-k‘ and the Greek lexemes are disputed.",2525,79,
46,215-216,A,"S.v. Arm. gišer 'night'. Generally connected with different IE words for 'evening', cf. Gk. ἕσπερος 'evening(-star)', Lat. vesper 'evening(-star), West', Lith. vãkaras, OCS večerъ 'evening'.",619,79,
47,99-100,A,"S.v. Arm. aǰ 'right', connected with Skt. sā́dhati 'to succeed, reach the goal', siddhá- , sidhrá- successful', sādhú- 'straight, effective', sídhyati 'to succeed, be successful' from PIE *sHdʰ-i̯o- or *seh₂dʰ-i̯o-.",3359,79,
48,870,A,"Loan < MIr [= Middle Iranian], cognate with OI bahu-.",3357,180,
49,"50, 787",A,"""The etymological connection with Lith. júrės 'sea' < *i̯ūr- (*i̯uhr-?) seems quite plausible, although the evidence for a development *i̯- (or *hi̯-) > ǰ- in Arm. is meagre, but the suggested further connection with Skt. vā́r 'water' etc. can hardly be carried through.""",663,180,
51,,A,"< Lat crustam 'crust, shell; thin slab, leaf’ (de Vaan, 2013: 147).",4017,182,
52,,A,< Lat dūrum 'hard'.,4019,182,
53,,A,cf. grisch 'grey' < Gmc *grisi.,4020,182,
54,,A,< Lat masculum.,4021,182,
55,,A,< Lat massa 'id'.,4022,182,
56,,A,< Lat culmen.,4023,182,
57,,A,< Pre-Rom *trogiu.,4024,182,
58,,A,"< Lat appodiāre 'to be on one's feet (?)'.
",4025,182,
59,,A,< Lat planta 'plant'.,4027,182,
60,,A,"< Pr bosc, cf Fr bois 'woods' (/lexeme/5902/).",4028,182,
61,,A,< Lat seniora.,4029,182,
62,14,A,< *ettiā 'feather' and *leg- 'to lie down'.,1706,193,
64,17,A,< MEng roade 'road'.,4075,193,
66,,A,< Lat cortex.,1685,193,
67,,A,Either < OEng lopust 'lobster' or < VLat locusta 'grasshopper'.,2205,193,
68,,A,< Fr croc.,975,193,
71,,A,< *wastos 'servant. Cf. Ir foss also 'servant'.,4111,193,
74,614-616,A,"S.v. Hitt. pai- / pi- 'to give, to pay, to grant, to hand over'. Kloekhorst prefers to split the Anatolian lexemes from Tocharian and Greek (αἴνυμαι), instead setting up a derived form *h₁p-ói̯-ei̯/*h₁p-i̯-énti, in comparison to Hitt. ēpp-/app- 'to take, seize'.",7598,80,
75,932,A,This cognate set is originally a loan into Classical Armenian from Syrian mezze 'crines parvi'.,596,180,
77,,A,"The traditional etymology ({ref Frisk 1960-1972}, {ref Chantraine 1968–1980}) holds that κρύσταλλος a derivative of κρύος 'cold' (cf. /cognate/1463/).  {ref Beekes 2010}:787) rejects the traditional etymology as a derived noun based on κρύος 'cold' on the basis of the presence of a suffix -αλλο- which he considers a morpheme in Pre-Greek. Certainly, the suffix -αλλο- is derivationally opaque in IE terms, but a comparison of the semantics of κρύος 'cold, frozen' and κρύσταλλος 'ice' is very suggestive of some relationship between the terms. Pace Beekes, it may just as well be that we are be dealing with some sort of lexical contamination of inherited κρύος with some other unknown substrate element. In my own opinion, I think the traditional etymology according to Frisk and Chantraine is probably correct, with a caveat somewhere along these lines. In any case, for the purposes of establishing cognacy in the database this is presently an irrelevant argument, since only the Greek branch attests the disputed element κρύσ(τ)- as the (potentially) semantics-bearing element for in the meaning 'ice'. The root ref. form for this class has been given as κρύσταλλος. For further proposed connections to Tocharian A kᵤraś, Tocharian B krośce, cf. discussion in /cognate/8386/ and /cognate/1463/.",4901,269,
81,1106,A,"S.v. ὄρνεον 'bird' < PIE *h₃er-n- 'bird'. Both ὄρνῑς and the alternative form ὄρνεον share an n-stem suffix with words in Germanic and Anatolian meaning 'eagle' *h₃er-n- (cf. Goth. ara, ONor. ari and ǫrn, OEng. earn, Hitt. ḫāran-.  Greek ὄρνῑς is expanded from a feminine stem (transponat) *h₃er-n-ih₂- which has added an extra -θ- in the oblique stem.",4903,66,
82,,A,"Originally a euphemism for the left-side in Ancient Greek.  Formed using the -tero- contrastive suffix to the same root of the suppletive comparative and superlative of 'good' ἀρείων 'better', ἄριστος 'best'; thus ἀριστερός 'better of (the) two' > 'left(hand) side'.  Less-commonly found in Ancient Greek is  εὐώνυμος 'of good name' (lit.) > 'left', but this usage is rare.",1504,269,
83,1569,A,"S.v. φθείρ, -ρός 'louse'. Beekes considers the form a folk etymology with φθείρω 'to ruin, destroy' < *dʰgʷʰer-i̯e/o- 'flow away, disappear'.  Cf. Chantraine (1968-1980:1198), however, who considers the form to be a true root noun.",1507,66,
84,1318-1319,A,"S.v. σελήνη 'moon'. The different dialectal reflexes of Attic σελήνη, West Greek σελάνα, Lesbian σελάννα may be accounted for from Proto-Greek *selas-nā (cf. σέλας 'light, brightness'). No further etymology, although the nominal formation of may be compared to the PIE word for 'moon' *l(o)uksneh₂, as in Lat. lūna 'moon', etc.",4127,66,
85,1408,A,"S.v. AGk. στόμα 'mouth, muzzle, front, peak edge' < PIE *sth̥₃-mn̥ 'mouth' (cf. Av. staman- (m.) 'mouth (of a dog)', Hitt. ištāman- 'ear').",1510,66,
88,1399,A,"S.v. AGk. στενός 'narrow, close, small, tight, slim'. Variants in Ancient Greek dialects στενός (Att.), στεινός (Ion.), στεννός  (Aeol., gramm.) point to an original u-stem *sten-u- which was later thematised to *stenu̯-o-. No known cognates outside of Greek.",1511,66,
89,1288,A,"S.v. ῥίς, ῥινός 'nose' (of man and animal) 'nostrils' (in pl.). No etymology outside of Greek.",2356,66,
90,,X,"PIE particle *mē 'not' is used with special modal constructions (prohibitives, etc.) and not the Swadesh term in Proto-Indo-European.  It has, however, been generalised into the function of both simple indicative negation as well as prohibitive negation in the Tocharian languages.",2357,269,
91,,A,"Some scholars consider Greek οὐκ and Armenian očʻ to come from a fossilised phrase *ne h₂oi̯u kʷid 'not ever in life' > 'not' following the proposal of {ref Cowgill 1960}, cf. {ref Beekes 2010}:1123) who tentatively accepts this proposal.  Other scholars doubt this cognacy judgement, cf. esp. {ref Clackson 1994}:158) who stresses that this etymological proposal is ad hoc, and suffers some difficulties in phonetic development. Likewise, cf. {ref Martirosyan 2010}:531) who regards Clackson's arguments for an inner-Armenian creation for očʻ more plausible. Cognacy of the Greek and Armenian lexemes have therefore been split.",8236,269,
92,106,A,"S.v. AGk. ἄνθρωπος 'man'; it resembles Hitt. antuu̯aḫḫaš, antuḫš- 'man', but this is superficial since the Hittite word can be derived from *h₁en-dʰu(e)h₂-s- 'having breath/spirit inside'. No IE explanation has been found, so the word is probably of substratum origin.",2373,66,
93,1225-1226,A,"S.v. ποταμός 'river'. Etymology uncertain.  In earlier scholarship the word was thought to be connected with the same root as in 'fall' /cognate/1991/ found in the verb πίπτω 'fall', with the semantics of 'waterfall' → 'river'.  More recent scholarship has determined that this root ended in a laryngeal *h₁, making this identification formally difficult, as one would expect †ποτεμός < *peth₁-mó-.  A second option connects ποταμός with the verb πετάννυμι 'spread out' (LIV² s.v. 1. *peth₂- 'ausbreiten'), to which can be compared Germanic forms OSax. fathmos, OEng. fæðm 'extension (of the arms), embrace, fathom'.  Another proposal connects ποταμός to the other *peth₂- 'fly' (LIV² 2. *peth₂- /cognate/1486/) which is formally more satisfactory.  A final possibility that is not excludable in principle is that the word is borrowed from a Pre-Greek substrate language.",1525,66,
97,720-721,A,"S.v. -κναίω.  Usually connected with Baltic, Celtic, and Germanic cognates.  Cf. Lith. knóti 'to peel, tear', OHG nuoen 'to make smooth by scratching, to make fit together', OIr. -cná 'to bite, gnaw'.
From PIE *kneh₂- 'scratch, plane'? poss. cogn. with 'bite' in /cognate/1220/ and Ind. words /cognate/1816/.",4909,66,
98,1275-1276,B,"S.v. ῥάπτω 'to sew (together), stitch, instigate'. No etymology.  Previously ῥάπτω was connected to Lith. ver̃pti, 'spin', Latv. virpêt 'spin with a spindle' (cf. IEW 1156, LIV² 590), but the attestation of Mycenaean e-ra-pe-me-na (perf.participle) which does not attest initial *u̯- demonstrates that this old etymology must be abandoned.",1533,66,
99,1101,A,"S.v. ὀρθός 'upright, straight, right, true'. Traditionally from PIE *h₃rdʰ-u̯o- and cognate Skt. ūrdhvá- 'raised, high' and derived from *u̯ordʰ-u̯o-. However, there is no evidence for initial u̯- in Mycenaean where it is expected.",2852,66,
100,818-819,A,"Cf. s.v. ὀρθός 'debout, dressé', cf. for an overview of competing etymological proposals.",2852,270,
101,163,A,"Reconstructs *h₃egʷʰi-, but the precise PIE reconstruction is disputed as not all reflexes attested can be reconciled to a single reconstruction. There is likely some taboo distortion occurring in this lexeme in independent branches.",648,290,
102,1033,A,"S.v. ξανθός 'yellow, golden yellow, reddish, brownish, blond'. Etymology unknown. Previous attempts by Walde (1930: 1.357f.) to suppose IE *kas- 'grey' (cf. Lat. cānus 'grey'), or Heubeck to Etruscan zamθic, supposedly, 'of gold' are tenuous.",4910,66,
103,480,A,"S.v. ἐυλή 'worm, maggot'. Etymology unclear. Traditionally connected by Frisk GEW with εἰλέω 'roll, turn, revolve' < PIE *u̯el- /cognate/3141/, but it is no longer possible to assume a prothetic vowel *ἐ-ϝλ-ή unless one assumes *h₁u̯el-, but the zero-grade *h₁ul- would have yielded ὑλ-.  A metathesis from an earlier *ϝελ-η is also improbable.",4911,66,
104,1529-1530,A,"S.v. ὕλη 'forest, wood, timber, firewood, shrubbery'. Earlier etymologies connecting Gk. ὕλη with Lat. silva /lexeme/20570/ are to be rejected. There are two possible etymologies which assume the original meaning was 'firewood'.  The possibilities are either (1)  *su̯ol-h₂- > ὕλη from root *su̯el- 'to smoulder' (LIV² 609, IEW 1045), or (2), comparing ONor. usli 'burning ashes', from *h₁eu̯s-l-h₂, an l-stem formed to the root *h₁eu̯s- 'burn, singe', cf. εὔω /lexeme/31502/, Lat. ūrere /lexeme/31504/ 'to burn', etc. (cf. LIV² s.v. *h₁eu̯s- 'verbrennen, sengen', IEW 347-8).",4912,66,
105,483-484,A,"S.v. εὐρύς 'broad, wide' < *h₁ur(H)-ú- (cf. Skt. urú-, Av. vouru- 'broad').",3090,66,
106,"205, 209-210",A,"S.v. *gʷeh₂- 'den Fuß aufsetzen, treten' (IEW 463-4), *gʷem- '(wohin)gehen, kommen' (IEW 464-5).  AGk. pres. (1.sg.) βαίνω < *gʷm̥-i̯e/o-, aor. (3.sg) ἔβη < *(e-)gʷeh₂-t; Skt. gáccha-, Av. ǰasa- < *gʷm̥-sk̑e/o-, Skt. aor. ágāt, Av. aor. gāt̰ < *(e-)gʷeh₂-t.  The suppletive present/aorist pairing appears to be of Indo-European date, and probably originally aspectual in nature, i.e. imperfective (present) '*continue taking steps; > come' vs. perfective (aorist) 'take a step'.",2370,141,
107,278,A,"S.v. γλῶσσα 'tongue, language'. Derived form in -i̯a- from *γλωχ- 'point' (γλῶχες 'beard of corn', γλωχίς 'end of a yoke strap, barb of an arrow, etc.'). Possibly a PIE preform *glōgʰ-s, gen. gl̥gʰ-ós 'point', but there are no certain cognates outside of Greek.",1556,66,
108,1127-1128,A,"S.v. οὐρά 'tail', from PIE *h₁ors-h₂- 'rear' (cf. OIr. err 'tail' < *h₁ers-h₂-).",1551,66,
109,,A,"From grammaticalised phrase διά (τοῦτο) ὅτι lit. 'through (this) that'.  ὅτι itself is a fossilised collocation of the neut.sg relative pronoun univerbated with the neut.sg. indefinite indefinite pronoun: *i̯od-kʷid.  Cf. LSJ s.v. ὅστις, LIPP (Vol. 2) p.321f.  On διά cf. /lexeme/18655/",4920,269,
112,,A,"Usually understood to have formed from a collocation of Ancient/Medieval Greek preposition εἰς + pronoun (e.g. εμένα) with subsequent reanalysis of the initial vowel of the pronoun as part of the preposition, i.e.  εις εμένα [is emena] > isemena > ise-mena]. (Initial unstressed /i/ is later lost.)",1449,271,
114,828-829,A,"S.v. μαύρος, ultimately from Ancient Greek ἀμαυρός 'dim, faint, lightless'.",1457,271,
121,792,A,"S.v. κτύπος 'strong noise, cracking, stamping'. Etymology unknown.",1577,66,
122,,A,"From Ancient Greek κρατέω 'be strong, have power; rule; lay hold of'.",1497,271,
127,843-844,A,"S.v. λειμών -ῶνος 'moist, grassy place, meadow' and λιμήν 'harbour, protected creek'. The Greek forms are are generalised from different accent/ablaut forms of PIE N.sg. *lei̯-mōn, A.sg. li-mén-m̥, gen. li-mn-ós.   λίμνη 'stagnant water, pond, lake, marsh' itself appears to be a secondarily derived ā-stem derived from the weakest stem, i.e. (transponat) *li-mn-eh₂",1503,66,
128,264-265,A,S.v. γελάω 'to laugh' < PIE *g̑elh₂- 'laugh' (cf. Arm całr 'laughter').,680,66,
129,162,A,S.v. *g̑elh₂- 'in Lachen ausbrechen' (IEW 366). A Greek-Armenian isogloss.,680,141,
134,231-232,A,S.v. βουνός 'hill'. Etymology unknown. The word appears to be originally a Doric dialectal word that spread in the Hellenistic period.,2801,66,
142,729,A,"S.v. κόκκινος, -η, -ο 'που έχει το χρώμα του αίματος' [that which has the colour of blood, red], from Ancient Greek κόκκος 'seed, grain'.",1523,271,http://www.greek-language.gr/greekLang/modern_greek/tools/lexica/triantafyllides/search.html?lq=%CE%BA%CE%BF%CE%BA%CE%BA%CE%B9%CE%BD%CE%BF%CF%82&dq=
145,,A,"Buck is cryptic here, but I think that he considers them as cognates as well. This is also the case of Walde-Hofmann, which he cites as a source. A Celtic borrowing from Latin is impossible, as Latin or Vulgar-Latin gr- becomes gr- in Brittonic. e.g. Breton grad from Latin gradus. An eventual loanword from Latin should thus be Breton *grass. A similar loanword is Early Modern Breton gross 'big, coarse' from Latin grossus via French (Deshayes 2003, 294).",4355,275,
151,48-49,A,"Middle Cornish ty, te and Old South-West British ti, te /tɪ/ < Late Proto-British *tɨ < Proto-British *ti. Old Welsh and Middle Welsh ti reflect Late Proto-British *ti < *tī. The attested form can be generated from Proto-Celtic *tū, *tu in more than one way. The Proto-Celtic nom. sg. *tū became Proto-British *tȳ < *tī, while the Proto-Celtic acc. sg. *te became *ti. Of these forms, Old Welsh generalized the former variant, Old South-West British the latter. A parallel development is found with the 1st person pronouns.",145,273,
152,,A,"From Ancient δρόμος 'course, race'.",1526,271,
153,239-40,A,"S.v. Proto-Celtic *lindu-, *lindo- 'liquid, lake'. IE etymology unclear.",4367,50,
155,,A,"From Ancient Greek σχοινίον 'small rope, cord, thread', diminutive of Ancient Greek σχοῖνος 'rush, reed'",1527,271,
156,,A,Modern Greek τρίβω from Ancient Greek τρίβω.,1167,271,
158,298,A,"From Proto-Celtic *oli̯ο- 'all, whole, every' < PIE *h₃oli̯o- 'all'.",965,50,
159,,A,"The Goidelic and Brittonic words probably belong to separate cognate classes. According to LEIA O-5, OIr ocus belongs to the preposition oc and further to the PIE verbal root *h₂nek̑- 'to reach' (LIV 282), while LIPP vol. 2 (2014: 11) reconstructs Middle Welsh â, ag etc. as *ád gʰe.",966,275,
162,,A,"Based on Proto-Celtic *leu̯-tu- or *lou̯-tu- 'ash' (PIE *leu̯h₃- 'to wash' LIV² 418), but different stems or reshapings in Goidelic and Brittonic. Matasović (2009, 246) postulates MIr. lúaith < *lou̯-tu̯-i-, MW lludw < *low-tw-o-. Alternatively an underlying *le/ou̯-tu̯-ah₂ is possible, see the discussion in Irslinger (2002, 115). Brittonic could continue this stem directly, while the Middle Irish word has become an i-stem. OIr. lúaithred and Scottish Gaelic luaithre (and Manx?) contain the collective suffixe -red (Thurneysen 1946, 169). ",968,275,
163,1379-1380,A,"S.v. σπείρω 'to sow, seed'. Mycenaean Greek pe-ma, pe-mo and Ancient Greek σπέρμα reflect PIE *spér-mn̥.",1532,66,
164,221-236,A,,2535,294,
166,411,A,"S.v. Proto-Celtic *wello-, *wallo- 'error, deceit' (cf. OIr. foll 'crime', MIr. fell 'deceit, treachery, crime'). Connected by {ref IEW} 1140 to Lith. vìlti, vìlbinti 'deceive', Skt. valh- 'puzzle (by riddles)', Gk. ἐλεφαίρομαι 'deceive', in which case we should reconstruct *(h₁)u̯elh₁-(bʰ)-. The geminate *-ll- in Proto-Celtic may be from *-ln-, but the loss of the laryngeal is surprising.",2556,50,
167,105-06,A,"S.v. Proto-Celtic *druko- 'bad'. The etymology is quite uncertain. One might want to try to relate Proto-Celtic *druko- to PIE *dʰreu̯gʰ- 'deceive' (IEW 276, Skt. drúhyate 'deceives', OHG bi-triugan 'decieve', gi-trog 'deceit') from an appealing semantic connection 'false, deceitful' > 'bad', but the the voiceless *-k- in Celtic (instead of *-g-) is problematic.",2137,50,
168,317,A,"S.v. Proto-Celtic *rūsk(l)o-, rusko- 'bark'. It is possible that some of the Brittonic forms (with -u-) were borrowed from Goidelic, or Romance in the prehistoric period. The vocalism of OIr. rúsc is probably original, though DIL states that it was borrowed from Brittonic. If inherited, then the forms may be analysed as *rū-sko- < *ruH-sko-, cf. PIE *reu̯H- 'to rip, to tear' ({ref LIV²} 510, {ref IEW} 868), i.e. bark is conceived as 'something ripped' (cf. ON rýja 'shear (of sheep)', OCS ryti 'dig', Lat. ruō 'dig out', TochB ru- 'pull out', etc.",971,50,
169,580,A,Cf. s.v. 3. *sper- 'ausstreuen' (IEW 933-4).,1532,141,
170,643,A,"The Brittonic words originate from PIE *prō-ko- (no exact cognates; Avestan, Old Church Slavonic and Latin have *pro-ko-).",2560,294,
173,456,A,"S.v. Proto-Germanic *smēha- 'small', an exclusively Germanic lexeme. The older proposed connection to Greek (σ)μικρός 'small' from *smh₁-i-k-ro- in untenable on formal grounds.",1540,165,
186,1287-1288,A,"Modern Greek forms from Ancient Greek σκωλήκιον, diminutive of σκώληξ 'worm, earthworm'.",1570,382,
190,376,A, From French par l'amour 'for the love (of)'. Earliest attestation 1499. ,4923,288,
192,258,A,"S.v. Proto-Celtic *māro- 'great', from PIE *moh₁-ro- (PIE *meh₁-), cf. OHG māri 'news; known, famous, great', Gk. -μωρος in compounds.",1686,50,
194,"126, 129",A,"Cf. s.v. Proto-Celtic *fet-no- 'bird', derived from PIE *pet- 'fly'. The thematic stem *fetno- is presumably generalised from the heteroclitic stem *fatar (gen. *fetnos). Cf. also s.v. Proto-Celtic *fatar / gen. *fatanos, *fetnos 'wing, bird' (to which may be compared Hitt. pattar, Skt. pátra-, Gk. πτερόν, Lat. penna).",8378,50,
195,122-124,A,"S.v. *dʰeu̯b- 'tief' (IEW 267f., EIEC 154). Celtic forms are from Proto-Celtic *dubu- 'black' in OIr. dub 'black, dark', OWel. dub MWel. du, OBret. du-, Middle Cornish duw 'id.', these forms are directly cognate with Lithuanian dubùs 'deep' and may be accounted for via a u-stem adjective *dʰub-u-. The proposed connection with Gk. τυφλός (with an alternative -λο- suffix) is dubious, cf. p.123n4 for further discussion.",976,274,
197,365,A,"S.v. Proto-Celtic *swizd-o- ‘to blow’ (PIE *su̯ei̯s-d-, IEW 1040, cf. Gk. σίζω, Ru. svistát'). The words are onomatopoetic, therefore the possibility cannot be excluded that IEW's proposed cognates in other IE branches are independent creations.",978,50,
198,611,A,"Reconstructs the Celtic verb as *su̯isd-e/o-, which has no cognates beyond Celtic. ",978,304,
199,81,A,"S.v. Proto-Celtic *bruson- 'abdomen, womb', from PIE *breu̯s- 'belly'(?), cf. OE breost 'breast', Russ. brjúxo 'belly, paunch'. Proto-Celtic *bruson- is an n-stem derived from the zero-grade of the PIE root (*bʰrus-on-).",2211,50,
202,435,A,"S.v. Proto-Celtic *yegi- 'ice' < PIE *i̯eg- 'ice' (IEW 503), cf. Hitt. eka- 'cold, frost, ice', ON yaki, Wakhi yaz 'glacier'.",982,50,
203,,A,"In Brittonic, the paradigms of the the verbs 'to go' and 'to come' are highly suppletive. The finite forms are based on the stems a- < *ag- < *h₂eg̑- 'to drive' (LIV 255) and el- < *pelh₂- 'to approach' (LIV 470). In the paradigm of 'to go', these forms are used uncompounded, while in the paradigm of 'to come', they contain the preverb *tu-. In Middle Welsh, some imperative forms are based on *ret-e/o- < *ret- 'to run' (LIV 507). The verbal nouns of 'to come' Welsh mynet, Breton monet originate from PIE *menH- 'to step, to stamp'? (LIV 438). The verbal noun of 'to go', Breton donet contains the same root prefixed with *tu-, i.e. *de-vonet, cf. also Old Breton diminet. The Welsh verbal noun dyfod 'to come' contains *tu- + bod 'to be' based on PIE *bʰu̯eh₂- 'to become, to grow' (LIV 98). See Schumacher (2004, 189-193), Hemon (1975, 236). ",983,275,
205,391,A,"S.v. Proto-Celtic *truk-, *truxso- 'trunk, broken part', from PIE *treu̯k- 'cut' ({ref IEW} 1074, cf. Lat. truncus 'mutilated; stem').",985,50,
206,69-81,A,"S.v. *dei̯-, di- 'hell (sein), scheinen' (IEW 184ff., 416f.).",375,274,
207,206,A,"From Proto-Celtic *klad-o- 'dig, bury', cf. PIE *kelh₂- 'hit, break' (LIV² 350, IEW 546f.). 
",986,50,
210,88-89,A,A Germanic-Celtic cognate set. ,989,50,
212,248,A,"Cf. s.v. Proto-Celtic *luk-o- 'see, perceive, set eyes upon', from PIE *leuk- 'shine' (IEW 687, cf. Hitt. lukk- 'get light, dawn', Skt. rócate 'shines', OLat. lūceō 'make light', OPr. luckis 'torch, log', TochB luk- 'to shine'). From this root is also derived OW licat (MW llygat) 'well, source', OCo. lagat (gloss 'oculus'), MBret. lagat.",994,50,
215,176,A,"S.v. Proto-Celtic *kʷello- 'far', perhaps from PIE *kʷel- 'to turn' (IEW 640), although this etymology is speculative.",996,50,
217,55,A,"The Brittonic Forms are from Proto-Celtic *ne-kwāt- (Schrijver, Old British 2011, 55).",1940,273,
218,147,A,Consists of the negator nep and meur 'big'.,4929,285,
219,375,A,S.v. Proto-Celtic *tefnet- 'fire' derived from PIE *tep- 'be warm'. The Celtic form presupposes an original s-stem *tepnēs-.,1001,50,
220,698-700,A,"S.v. *tep- 'warm sein, heiß sein' (LIV 629f., IEW 1069f.).",1001,274,
223,S:145-146,A,"Cf. s.v. OIr. sná- 'couler (d'un liquide ou d'un cours d'eau)', going back to the IE root *snā- (cf. Skt. snā́ti 'il se baigne', Gk. νήχω 'je nage', etc.). The Brythonic forms are from the same root in a derived dental stem (cf. Lat. natō 'je nage', Bret. neijal, nijal 'voler').",1005,296,
224,"387, 389",A,"S.v. Proto-Celtic *treget- 'foot', cf. PIE *tregʰ- 'run, walk' (IEW 1089).",1007,50,
225,278-282,A,S.v. Proto-Insular-Celtic *-dī- 'setzen' from PIE *dʰeh₁- (LIV² 136-138) > (+ pro > ro-) Middle Welsh roði 'geben',1010,304,
226,259-60,A,"S.v. Proto-Celtic *mati- 'good' from PIE *meh₂-t- (cf. Lat. mānis, mānus, Mātūta 'goddess Dawn').",1011,50,
