id,citation_text,description,bookauthor,booktitle,chapter,edition,howpublished,note,number,institution,pages,title,ENTRYTYPE,link,volume,year,shorthand,author,editor,editora,publisher,series,authortype,booksubtitle,editoratype,editortype,isbn,journaltitle,location,part,subtitle,deprecated,TRS,respect
15,"Jago, F. W. P. (1887). An English-Cornish Dictionary. Compiled from the best sources. London: Simpkin, Marshall & Co.",,,,,,,,,,,An English-Cornish Dictionary,book,,,1887,Jago 1887,"Jago, F. W. P.",,,"Simpkin, Marshall \& Co.",,P,,,,,,London,,Compiled from the best sources,False,False,
16,"Jember, G. K. (1975). English-Old English, Old English-English Dictionary. Boulder, Colorado: Westview Press.",,,,,,,,,,,"English-Old English, Old English-English Dictionary",book,,,1975,Jember 1975,"Jember, G. K.",,,Westview Press,,P,,,,,,"Boulder, Colorado",,,False,False,
17,"Kessler, B. (2001). The Significance of Word Lists. Stanford: CSLI Publications.",,,,,,,,,,,The Significance of Word Lists,book,,,2001,Kessler 2001,"Kessler, B.",,,CSLI Publications,,P,,,,,,Stanford,,,False,False,
18,"Köbler, G. (1989). Gotisches Wörterbuch. Leiden: Brill.",,,,,,,,,,,Gotisches Wörterbuch,book,,,1989,Köbler 1989,"Köbler, G.",,,Brill,,P,,,,,,Leiden,,,False,False,
19,"Kordić, S. (1997). Serbo-Croatian. Languages of the world/Materials 148.",,,,,,,,148,,,Serbo-Croatian,book,,,1997,Kordić 1997,"Kordić, S.",,,,Languages of the world/Materials,P,,,,,,,,,False,False,
20,"Krause, W. (1953). Handbuch des Gotischen. München: C. H. Beck.",,,,,,,,,,,Handbuch des Gotischen,book,,,1953,Krause 1953,"Krause, W.",,,C. H. Beck,,P,,,,,,München,,,False,False,
23,"Neukom, L. & M. Patnaik (2003). A Grammar of Oriya. Arbeiten des Seminars fuer Allgemeine Sprachwissenschaft 17. Zurich: University of Zurich.",,,,,,,,17,,,A Grammar of Oriya,book,,,2003,Neukom & Patnaik 2003,"Neukom, L. and Patnaik, M.",,,University of Zurich,Arbeiten des Seminars fuer Allgemeine Sprachwissenschaft,P,,,,,,Zurich,,,False,False,
24,"Pattanayak, D. P. (1966). A Controlled Historical Reconstruction of Oriya, Assamese, Bengali and Hindi. The Hague: Mouton & Co.",,,,,,,,,,,"A Controlled Historical Reconstruction of Oriya, Assamese, Bengali and Hindi",book,,,1966,Pattanayak 1966,"Pattanayak, D. P.",,,Mouton \& Co.,,P,,,,,,The Hague,,,False,False,
25,"Priese, O. (1933). Deutsch-gotisches Wörterbuch. Halle: Niemeyer.",,,,,,,,,,,Deutsch-gotisches Wörterbuch,book,,,1933,Priese 1933,"Priese, O.",,,Niemeyer,,P,,,,,,Halle,,,False,False,
26,"Rau, Felix. personal communication.",,,,,,,personal communication,,,,,misc,,,,"Rau, Felix","Rau, Felix",,,,,E,,,,,,,,,False,False,
27,"Rea, J. A. (1973). “The Romance data of the pilot studies for glottochronology”. In: Diachronic, Areal and Typological Linguistics, Current Trends in Linguistics 11. Ed. by T. Sebeok, pp. 355–367.",,,,,,,,11,,355–367,The Romance data of the pilot studies for glottochronology,article,,,1973,Rea 1973,"Rea, J. A.","Sebeok, T.",,,,P,,,,,"Diachronic, Areal and Typological Linguistics, Current Trends in Linguistics",,,,False,False,
29,"Trail, Ronald L., ed. (1973). Patterns in Clause, Sentence and Discourse in Selected Languages of India and Nepal (SIL). International Publications in Linguistics 41(4). Norman: Summer Institute of Linguistics of the University of Oklahoma. url: http://www.sil.org/resources/archives/8617.",,,,,,,,41(4),,,"Patterns in Clause, Sentence and Discourse in Selected Languages of India and Nepal (SIL)",book,http://www.sil.org/resources/archives/8617,,1973,Trail 1973,,"Trail, Ronald L.",,Summer Institute of Linguistics of the University of Oklahoma,International Publications in Linguistics,,,,,,,Norman,,,False,False,
30,"Trumpp, E. (1986). Grammar of the Sindhi Language. Delhi: Jetley.",,,,,,,,,,,Grammar of the Sindhi Language,book,,,1986,Trumpp 1986,"Trumpp, E.",,,Jetley,,P,,,,,,Delhi,,,False,False,
31,"Wmffre, Iwan (1998). Late Cornish. Languages of the world/Materials 135. Munich: Lincom Europa.",,,,,,,,135,,,Late Cornish,book,,,1998,Wmffre 1998,"Wmffre, Iwan",,,Lincom Europa,Languages of the world/Materials,P,,,,,,Munich,,,False,False,
32,"Woodhouse, M. A. (1910). English-Greek Dictionary. A Vocabulary of the Attic Language. London: George Routledge & Sons.",,,,,,,,,,,English-Greek Dictionary,book,,,1910,Woodhouse 1910,"Woodhouse, M. A.",,,George Routledge \& Sons,,P,,,,,,London,,A Vocabulary of the Attic Language,False,False,
33,http://donelaitis.vdu.lt/prussian/databan.htm (Old Prussian Dictionary),,,,,,,Old Prussian Dictionary,,,,http://donelaitis.vdu.lt/prussian/databan.htm,online,http://donelaitis.vdu.lt/prussian/databan.htm,,,http://donelaitis.vdu.lt/prussian/databan.htm,,,,,,U,,,,,,,,,False,False,
34,FREELANG Cornish-English-Cornish online dictionary. url: http://www.freelang.net/online/cornish.php?lg=gb.,,,,,,,,,,,FREELANG Cornish-English-Cornish online dictionary,online,http://www.freelang.net/online/cornish.php?lg=gb,,,FREELANG Cornish-English-Cornish online dictionary,,,,,,U,,,,,,,,,False,False,
36,Glossary of Rajasthani Language. url: http://www.jatland.com/home/Glossary_of_Rajasthani_Language.,,,,,,,,,,,Glossary of Rajasthani Language,online,http://www.jatland.com/home/Glossary_of_Rajasthani_Language,,,Glossary of Rajasthani Language,,,,,,U,,,,,,,,,False,False,
37,"Macalister, George (1898). A dictionary of the dialects spoken in the state of Jeypore. url: http://dsal.uchicago.edu/dictionaries/macalister/.",,,,,,,,,,,A dictionary of the dialects spoken in the state of Jeypore,online,http://dsal.uchicago.edu/dictionaries/macalister/,,1898,Macalister 1898,"Macalister, George",,,,,U,,,,,,,,,False,False,
38,"Mewaram, Parmanand (1910). A Sindhi-English dictionary. url: http://dsal.uchicago.edu/dictionaries/mewaram/.",,,,,,,,,,,A Sindhi-English dictionary,online,http://dsal.uchicago.edu/dictionaries/mewaram/,,1910,Mewaram 1910,"Mewaram, Parmanand",,,,,U,,,,,,,,,False,False,
41,Dictionary of spoken Sanskrit. url: http://spokensanskrit.de/.,,,,,,,,,,,Dictionary of spoken Sanskrit,online,http://spokensanskrit.de/,,,Dictionary of spoken Sanskrit,,,,,,U,,,,,,,,,False,False,
47,"Buck, Carl Darling (1988). A Dictionary of Selected Synonyms in the Prinicipal Indo-European Languages. Chicago: University of Chicago Press.",,,,,,,,,,,A Dictionary of Selected Synonyms in the Prinicipal Indo-European Languages,book,,,1988,Buck 1949,"Buck, Carl Darling",,,University of Chicago Press,,P,,,,,,Chicago,,,False,False,
48,"Ludewig, Julia. University of Freiburg/Max Planck Institute for Psycholinguistics, MA in European Linguistics at University of Freiburg. MPI Psycholinguistics, Nijmegen ’Evolutionary Processes in Language and Culture’: Intern September–October 2009, Research Assistant May–July 2010.","MA in European Linguistics at University of Freiburg. MPI Psycholinguistics, Nijmegen 'Evolutionary Processes in Language and Culture': Intern September-October 2009, Research Assistant May-July 2010.",,,,,,"University of Freiburg/Max Planck Institute for Psycholinguistics, MA in European Linguistics at University of Freiburg. MPI Psycholinguistics, Nijmegen 'Evolutionary Processes in Language and Culture': Intern September–October 2009, Research Assistant May–July 2010",,,,,misc,,,,"Ludewig, Julia","Ludewig, Julia",,,,,E,,,,,,,,,False,False,
49,"Pokorny, Julius (1959–1969). Indogermanisches etymologisches Wörterbuch. Tübingen: Francke.",,,,,,,,,,,Indogermanisches etymologisches Wörterbuch,book,,,1959–1969,IEW,"Pokorny, Julius",,,Francke,,P,,,,,,Tübingen,,,False,True,
50,"Matasović, Ranko (2009). Etymological Dictionary of Proto-Celtic. Leiden: Brill.",,,,,,,,,,,Etymological Dictionary of Proto-Celtic,book,,,2009,Matasović 2009,"Matasović, Ranko",,,Brill,,P,,,,,,Leiden,,,False,False,
53,"Gomez de Silva, G. (1985). Elsevier’s Concise Spanish Etymological Dictionary. Amsterdam: Elsevier.",,,,,,,,,,,Elsevier's Concise Spanish Etymological Dictionary,book,,,1985,Gomez de Silva 1985,"Gomez de Silva, G.",,,Elsevier,,P,,,,,,Amsterdam,,,False,False,
54,"de Vaan, Michiel (2008). Etymological Dictionary of Latin and the other Italic Languages. Leiden: Brill.",,,,,,,,,,,Etymological Dictionary of Latin and the other Italic Languages,book,,,2008,de Vaan 2008,"de Vaan, Michiel",,,Brill,,P,,,,,,Leiden,,,False,False,
55,Centre National de Ressources Textuelles et Lexicales. French etymological dictionary. url: http://www.cnrtl.fr/etymologie/.,Centre National de Ressources Textuelles et Lexicales,,,,,,,,,,French etymological dictionary,online,http://www.cnrtl.fr/etymologie/,,,Centre National de Ressources Textuelles et Lexicales,Centre National de Ressources Textuelles et Lexicales,,,,,U,,,,,,,,,False,False,
56,"Dunn, Michael. Max Planck Institute for Psycholinguistics.",,,,,,,Max Planck Institute for Psycholinguistics,,,,,misc,,,,"Dunn, Michael","Dunn, Michael",,,,,E,,,,,,,,,False,False,
59,"Pughe, W. Owen (1832). A dictionary of the Welsh language. [Preceded by] A Welsh grammar. Denbigh: Thomas Gee.",,,,,,,,,,,A dictionary of the Welsh language. [Preceded by] A Welsh grammar,book,,,1832,Pughe 1832,"Pughe, W. Owen",,,Thomas Gee,,P,,,,,,Denbigh,,,False,False,
62,IAL Trust. url: http://ialtrust.com/swadeshlanguagelist.,,,,,,,,,,,IAL Trust,online,http://ialtrust.com/swadeshlanguagelist,,,IAL Trust,,,,,,U,,,,,,,,,False,False,
65,"Gvozdanović, Jadranka, ed. (1992). Indo-European Numerals. Trends in Linguistics Studies and Monographs 57. Berlin and Boston: Mouton de Gruyter.",,,,,,,,57,,,Indo-European Numerals,book,,,1992,Gvozdanović 1992,,"Gvozdanović, Jadranka",,Mouton de Gruyter,Trends in Linguistics Studies and Monographs,P,,,,,,Berlin and Boston,,,False,False,
66,"Beekes, Robert (2010). Etymological Dictionary of Greek. .1–2. Leiden Indo-European Etymological Dictionary Series (IEED) 10. Leiden: Brill.",Etymological Dictionary of Ancient Greek from the Brill Indo-European Etymological Dictionary Series.,,,,,,,10,,,Etymological Dictionary of Greek,book,,,2010,Beekes 2010,"Beekes, Robert",,,Brill,Leiden Indo-European Etymological Dictionary Series (IEED),P,,,,,,Leiden,,,False,False,
67,"Klein, E. (1986). A Comprehensive Etymological Dictionary of the English Language. Amsterdam: Elsevier.",,,,,,,,,,,A Comprehensive Etymological Dictionary of the English Language,book,,,1986,Klein 1986,"Klein, E.",,,Elsevier,,P,,,,,,Amsterdam,,,False,False,
68,"Weeks, David Michael (1985). Hittite Vocabulary. An Anatolian Appendix to Buck’s """"Dictionary of Selected Synonyms in the prinicipal Indo-European languages"""". Los Angeles: University of California.",,,,,,,,,,,Hittite Vocabulary,book,,,1985,Weeks 1985,"Weeks, David Michael",,,University of California,,P,,,,,,Los Angeles,,,False,False,
69,"Turner, R. L. (1931). A Comparative and Etymological Dictionary of the Nepali language. London: Kegan Paul, Trench, and Trubner.",,,,,,,,,,,A Comparative and Etymological Dictionary of the Nepali language,book,,,1931,Turner 1931,"Turner, R. L.",,,Kegan Paul and Trench and Trubner,,P,,,,,,London,,,False,False,
72,"Beekes, Robert (1995). Comparative Indo-European Linguistics: An Introduction. Amsterdam: John Benjamins.",,,,,,,,,,,Comparative Indo-European Linguistics: An Introduction,book,,,1995,Beekes 1995,"Beekes, Robert",,,John Benjamins,,P,,,,,,Amsterdam,,,False,False,
73,"Jasanoff, Jay H. (1989). “Language and Gender in the Tarim Basin: The Tocharian 1 sg. Pronoun”. In: Tocharian and Indo-European Studies 3, pp. 125–148.",,,,,,,,3,,125–148,Language and Gender in the Tarim Basin: The Tocharian 1 sg. Pronoun,article,,,1989,Jasanoff 1989,"Jasanoff, Jay H.",,,Museum Tusculanum Press,,P,,,,,Tocharian and Indo-European Studies,Copenhagen,,,False,False,
75,"Mallory, J. P. & Douglas Q. Adams (2006). The Oxford Introduction to Proto-Indo-European and the Proto-Indo-European World. Oxford: Oxford Univ. Press.",,,,,,,,,,,The Oxford Introduction to Proto-Indo-European and the Proto-Indo-European World,book,,,2006,Mallory & Adams 2006,"Mallory, J. P. and Adams, Douglas Q.",,,Oxford Univ. Press,,P,,,,,,Oxford,,,False,False,
76,"van Windekens, A. J. (1976). Le Tokharien confronté les autres langues indo-européennes. Vol. 1: La phonétique et le vocabulaire. Louvain: Centre International De Dialectologie Générale.",,,,,,,,,,,Le Tokharien confronté les autres langues indo-européennes,book,,1: La phonétique et le vocabulaire,1976,van Windekens 1976,"van Windekens, A. J.",,,Centre International De Dialectologie Générale,,P,,,,,,Louvain,,Volume 1 -- La phonétique et le vocabulaire,False,False,
77,"Diez, Friedrich (1864). An Etymological Dictionary of the Romance Languages. Strassburg: Trübner.",,,,,,,,,,,An Etymological Dictionary of the Romance Languages,book,,,1864,Diez 1864,"Diez, Friedrich",,,Trübner,,P,,,,,,Strassburg,,,False,False,
78,"Monier-Williams, Monier (1899). A Sanskrit-English Dictionary. Oxford: Clarendon Press. url: http://www.sanskrit-lexicon.uni-koeln.de/scans/MWScan/2014/web/webtc2/index.php.",Searchable digital version at http://www.sanskrit-lexicon.uni-koeln.de/monier/indexcaller.php,,,,,,,,,,A Sanskrit-English Dictionary,book,http://www.sanskrit-lexicon.uni-koeln.de/scans/MWScan/2014/web/webtc2/index.php,,1899,Monier-Williams 1899,"Monier-Williams, Monier",,,Clarendon Press,,P,,,,,,Oxford,,,False,False,
79,"Martirosyan, Hrach (2010). Etymological Dictionary of the Armenian Inherited Lexicon. Leiden: Brill.",,,,,,,,,,,Etymological Dictionary of the Armenian Inherited Lexicon,book,,,2010,Martirosyan 2010,"Martirosyan, Hrach",,,Brill,,P,,,,,,Leiden,,,False,False,
80,"Kloekhorst, Alwin (2008). Etymological Dictionary on the Hittite Inherited Lexicon. Leiden: Brill.",,,,,,,,,,,Etymological Dictionary on the Hittite Inherited Lexicon,book,,,2008,Kloekhorst 2008,"Kloekhorst, Alwin",,,Brill,,P,,,,,,Leiden,,,False,False,
81,"Derksen, Rick (2008). Etymological Dictionary of the Slavic Inherited Lexicon. Leiden: Brill.",,,,,,,,,,,Etymological Dictionary of the Slavic Inherited Lexicon,book,,,2008,Derksen 2008,"Derksen, Rick",,,Brill,,P,,,,,,Leiden,,,False,False,
82,"Boutkan, Dirk & Sjoerd M. Siebinga (2005). Old Frisian Etymological Dictionary. Leiden: Brill.",,,,,,,,,,,Old Frisian Etymological Dictionary,book,,,2005,Boutkan & Siebinga 2005,"Boutkan, Dirk and Siebinga, Sjoerd M.",,,Brill,,P,,,,,,Leiden,,,False,False,
83,"Cheung, Johnny (2007). Etymological Dictionary of the Iranian Verb. Leiden: Brill.",,,,,,,,,,,Etymological Dictionary of the Iranian Verb,book,,,2007,Cheung 2007,"Cheung, Johnny",,,Brill,,P,,,,,,Leiden,,,False,False,
84,Oxford English Dictionary (OED). url: http://www.oed.com/.,,,,,,,,,,,Oxford English Dictionary (OED),online,http://www.oed.com/,,,Oxford English Dictionary (OED),,,,,,U,,,,,,,,,False,False,
85,"Cioranescu, Alexandre, Tudora Șandru Mehedinți and Magdalena Popescu-Marin (2002), Dicționarul etimologic al limbii române, Etymological Dictionary of the Romanian Language, Editura Saeculum București",,,,,,,Etymological Dictionary of the Romanian Language,,,,Dicționarul etimologic al limbii române,book,,,2002,Ciorănescu et al. 2002,"Ciorănescu, Alexandre and Mehedinți, Tudora Șandru and Popescu-Marin, Magdalena",,,Editura Saeculum,,P,,,,973-9399-86-X,,București,,,False,False,
86,Real Academia Española. Various Spanish dictionaries. url: http://www.rae.es.,,,,,,,,,,,Various Spanish dictionaries,online,http://www.rae.es,,,Various Spanish dictionaries,Real Academia Española,,,,,U,,,,,,,,,False,False,
91,"Corréard, Marie-Hélène & Valerie Grundy, eds. (1994). The Oxford-Hachette French Dictionary, French-English, English-French. Oxford: Oxford University Press.",,,,,,,,,,,"The Oxford-Hachette French Dictionary, French-English, English-French",book,,,1994,Corréard & Grundy 1994,,"Corréard, Marie-Hélène and Grundy, Valerie",,Oxford University Press,,P,,,,,,Oxford,,,False,False,
93,"Makins, M., A. Isaacs & D. Adams (1994). Collins English Dictionary. Glasgow: HarperCollins.",,,,,,,,,,,Collins English Dictionary,book,,,1994,Makins et al. 1994,"Makins, M. and Isaacs, A. and Adams, D.",,,HarperCollins,,P,,,,,,Glasgow,,,False,False,
95,"Osselton, N. & R. Hempelman (2003). The New Routledge Dutch Dictionary: Dutch-English, English-Dutch. Utrecht-Antwerpen: Van Dale Lexicografie.",,,,,,,,,,,"The New Routledge Dutch Dictionary: Dutch-English, English-Dutch",book,,,2003,Osselton & Hempelman 2003,"Osselton, N. and Hempelman, R.",,,Van Dale Lexicografie,,P,,,,,,Utrecht-Antwerpen,,,False,False,
96,"Al, B. P. F. et al. (1983). Groot woordenboek Duits-Nederlands. Utrecht and Antwerpen: Van Dale Lexicografie. isbn: 9789066481022.",,,,,,,,,,,Groot woordenboek Duits-Nederlands,book,,,1983,Al et al. 1983,"Al, B. P. F. and Cox, H. L. and Martin, W. and Pijnenburg, W. J. J. and van Sterkenburg, P. G. J. and Tops, G. A. J.",,,Van Dale Lexicografie,,P,,,,9789066481022,,Utrecht and Antwerpen,,,False,False,
97,"Det Danske Sprog- og Litteraturselskab (2011). Den Danske Ordbog. Internet version of the official Danish Dictionary, funded by the Danish Ministry of Culture. url: http://ordnet.dk/ddo/.","Internet version of the official Danish Dictionary, funded by the Danish Ministry of Culture.",,,,,,"Internet version of the official Danish Dictionary, funded by the Danish Ministry of Culture",,,,Den Danske Ordbog,online,http://ordnet.dk/ddo/,,2011,Den Danske Ordbog,Det Danske Sprog- og Litteraturselskab,,,,,U,,,,,,,,,False,False,
98,"Pandharipande, Rajeshwari V. (1997). Marathi. London: Routledge.",,,,,,,,,,,Marathi,book,,,1997,Pandharipande 1997,"Pandharipande, Rajeshwari V.",,,Routledge,,P,,,,,,London,,,False,False,
99,"Bellamy, Kate. Max Planck Institute for Psycholinguistics, MPI Psycholinguistics, Nijmegen ’Evolutionary Processes in Language and Culture’: Student Assistant 2011, Research Assistant 2012–2013.","MPI Psycholinguistics, Nijmegen 'Evolutionary Processes in Language and Culture': Student Assistant 2011, Research Assistant 2012-2013.",,,,,,"Max Planck Institute for Psycholinguistics, MPI Psycholinguistics, Nijmegen 'Evolutionary Processes in Language and Culture': Student Assistant 2011, Research Assistant 2012–2013",,,,,misc,,,,"Bellamy, Kate","Bellamy, Kate",,,,,E,,,,,,,,,False,False,
100,"Chandralal, Dileep (2010). Sinhala. Amsterdam and Philadelphia: John Benjamins.",,,,,,,,,,,Sinhala,book,,,2010,Chandralal 2010,"Chandralal, Dileep",,,John Benjamins,,P,,,,,,Amsterdam and Philadelphia,,,False,False,
101,"Shapiro, Michael C. (2003). “Hindi”. In: The Indo-Aryan Languages. Ed. by George Cardona & Dhanesh Jain. London: Routledge.",,,The Indo-Aryan Languages,,,,,,,,Hindi,inbook,,,2003,Shapiro 2003,"Shapiro, Michael C.","Cardona, George and Jain, Dhanesh",,Routledge,,P,,,,,,London,,,False,False,
102,"Riccardi, Theodore (2003). “Nepali”. In: The Indo-Aryan Languages. Ed. by George Cardona & Dhanesh Jain. London: Routledge.",,,The Indo-Aryan Languages,,,,,,,,Nepali,inbook,,,2003,Riccardi 2003,"Riccardi, Theodore","Cardona, George and Jain, Dhanesh",,Routledge,,P,,,,,,London,,,False,False,
103,"Shackle, Christopher (2003). “Panjabi”. In: The Indo-Aryan Languages. Ed. by George Cardona & Dhanesh Jain. London: Routledge.",,,The Indo-Aryan Languages,,,,,,,,Panjabi,inbook,,,2003,Shackle 2003,"Shackle, Christopher","Cardona, George and Jain, Dhanesh",,Routledge,,P,,,,,,London,,,False,False,
104,"Cardona, George & Babu Suthar (2003). “Gujarati”. In: The Indo-Aryan Languages. Ed. by George Cardona & Dhanesh Jain.",,,,,,,,,,,Gujarati,article,,,2003,Cardona & Suthar 2003,"Cardona, George and Suthar, Babu","Cardona, George and Jain, Dhanesh",,Routledge,,P,,,,,The Indo-Aryan Languages,London,,,False,False,
105,"Orel, Vladimir (1998). Albanian Etymological Dictionary. Leiden: Brill.",,,,,,,,,,,Albanian Etymological Dictionary,book,,,1998,Orel 1998,"Orel, Vladimir",,,Brill,,P,,,,,,Leiden,,,False,False,
121,"Kornitzky, H. & E. Engbrant-Heider (1984). Langenscheidts Taschenwörterbuch Schwedisch, Schwedisch-Deutsch, Deutsch-Schwedisch. Berlin and München: Langenscheidt.",,,,,,,,,,,"Langenscheidts Taschenwörterbuch Schwedisch, Schwedisch-Deutsch, Deutsch-Schwedisch",book,,,1984,Kornitzky & Engbrant-Heider 1984,"Kornitzky, H. and Engbrant-Heider, E.",,,Langenscheidt,,P,,,,,,Berlin and München,,,False,False,
122,"Erschler, David (2011). Field Notes. Expert in Iron and Digor dialects of Ossetic.",Expert in Iron and Digor dialects of Ossetic.,,,,,,Expert in Iron and Digor dialects of Ossetic,,,,Field Notes,book,,,2011,Erschler 2011,"Erschler, David",,,,,E,,,,,,,,,False,False,
124,"Zantema, J. W. (1984). Frysk Wurdboek, frysk-nederlânsk. Leeuwarden: A. J. Osinga Uitgeverij.",,,,,,,,,,,"Frysk Wurdboek, frysk-nederlânsk",book,,,1984,Zantema 1984,"Zantema, J. W.",,,A. J. Osinga Uitgeverij,,P,,,,,,Leeuwarden,,,False,False,
125,"Delaporte, Raymond (2006). Elementary Breton-English & English-Breton Dictionary. 2nd ed. Lesneven: Mouladurioù Hor Yezh.",,,,,2,,,,,,Elementary Breton-English \& English-Breton Dictionary,book,,,2006,Delaporte 2006,"Delaporte, Raymond",,,Mouladurioù Hor Yezh,,P,,,,,,Lesneven,,,False,False,
128,"Zimmermann, Martina. Berndeutsch elicitation March 2012, Swadesh 207 word lists using semantically specified elication tool (provided by Dunn and Bellamy-Dworak).",Swadesh 207 word lists using semantically specified elication tool (provided by Dunn and Bellamy-Dworak).,,,,,,"Berndeutsch elicitation March 2012, Swadesh 207 word lists using semantically specified elication tool (provided by Dunn and Bellamy-Dworak)",,,,,misc,,,,"Zimmermann, Martina","Zimmermann, Martina",,,,,E,,,,,,,,,False,False,
129,"van Scherpenberg, Cornelia. Allgemeine und Indogermanische Sprachwissenschaft Ludwig-Maximilians-Universität München, Intern at EPLC, MPI Psycholinguistics, Nijmegen March-April 2012.","Intern at EPLC, MPI Psycholinguistics, Nijmegen March-April 2012",,,,,,"Allgemeine und Indogermanische Sprachwissenschaft Ludwig-Maximilians-Universität München, Intern at EPLC, MPI Psycholinguistics, Nijmegen March-April 2012",,,,,misc,,,,"van Scherpenberg, Cornelia","van Scherpenberg, Cornelia",,,,,E,,,,,,,,,False,False,
130,"Holm, Hans J. (2011). """"Swadesh lists"""" of Albanian Revisited and Consequences for Its Position in the Indo-European Languages. The Journal of Indo-European Studies (JIES) 39/1&2, pp. 45–53. url: http://www.jies.org/DOCS/jies_index/Vol39.html.",,,,,,,,39/1\&2,,45–53,"""Swadesh lists"" of Albanian Revisited and Consequences for Its Position in the Indo-European Languages",book,http://www.jies.org/DOCS/jies_index/Vol39.html,,2011,Holm 2011,"Holm, Hans J.",,,,The Journal of Indo-European Studies (JIES),,,,,,,,,,False,False,
131,"Kortlandt, Frederik (1987). PIE. *s in Albanian, Dutch Studies in South Slavic and Balkan Linguistics. Studies in Slavic and General Linguistics 10. Amsterdam: RODOPI, pp. 219–226.",,,,,,,,10,,219–226,PIE *s in Albanian,book,,,1987,Kortlandt 1987,"Kortlandt, Frederik",,,RODOPI,Studies in Slavic and General Linguistics,P,,,,,,Amsterdam,,,False,False,
132,"Carruba, Onofrio (1970). Das Palaische: Texte, Grammatik, Lexikon. Studien zu den Boğazköy-Texten (StBoT) 10. a full PDF version can be retrieved via http://www.hethport.uni-wuerzburg.de/stbot/anforder.php?band=10. Wiesbaden: Harrassowitz.",,,,,,,a full PDF version can be retrieved via http://www.hethport.uni-wuerzburg.de/stbot/anforder.php?band=10,10,,,"Das Palaische: Texte, Grammatik, Lexikon",book,,,1970,Carruba 1970,"Carruba, Onofrio",,,Harrassowitz,Studien zu den Boğazköy-Texten (StBoT),P,,,,,,Wiesbaden,,,False,False,
